ء	unk
آ	unk aa
آبد	unk aa b unk d
آبلة	unk aa b unk l aa
آبيس	unk aa b iy s
آتشيوت	aa t sh unk y ow t
آتشيوت	unk aa t sh unk y uw t
آتون	unk aa t uw n
آثار	unk aa th aa r
آثام	unk aa th aa m
آح	unk aa unk
آخر	unk aa unk aa r
آخر	unk aa unk unk r
آخرة	unk aa unk unk r aa
آخرة	unk aa unk r aa
آخن	unk aa unk aa n
آدب	unk aa d unk b
آدم	unk aa d aa m
آدمي	unk aa d aa m unk y y
آذان	unk aa dh aa n
آذريون	unk aa dh aa r y uw n
آذى	unk aa dh aa
آس	unk aa s
آسف	unk aa s aa f aa
آسف	unk aa s unk f
آسفي	unk aa s aa f iy
آسيوي	unk aa s unk y aa w unk y y
آش	unk aa sh
آشوري	unk aa sh uw r unk y y
آصف	unk aa ss aa f
آصف	unk aa ss unk f
آفات	unk aa f aa t
آفة	unk aa f aa
آفرین	unk aa f unk r iy n
آل	unk aa l
آل	unk aa l aa
آل	unk aa l uw
آلات	unk aa l aa t
آلاف	unk aa l aa f
آلة	unk aa l aa
آلف	unk aa l f
آلي	unk aa l unk y y
آلية	unk aa l unk y y aa
آمال	unk aa m aa l
آمن	unk aa m aa n
آمن	unk aa m aa n aa
آمن	unk aa m aa n uw
آمن	unk aa m unk n
آمن	unk aa m uw n
آمن	unk aa m uw n aa
آمن	unk aa m uw n uw
آمنة	unk aa m unk n aa
آمون	unk aa m uw n
آمين	unk aa m iy n
آنسة	unk aa n unk s aa
آنك	unk aa n uw k
آنى	unk aa n aa
آني	unk aa n unk y y
آية	unk aa y aa
آيسلندا	unk aa y unk s l aa n d aa
آيوا	unk aa y uw w aa
أ	unk
أ	unk aa
أ	unk uw
أب	unk aa b
أباجور	unk aa b aa zh uw r
أباح	unk aa b aa unk aa
أباخس	unk aa b aa unk unk s uw
أباد	unk aa b aa d aa
أباريق	unk aa b aa r iy q
أباس	unk uw b aa s
أباسخيرون	unk aa b aa s unk iy r uw n
أبان	unk aa b aa n aa
أبتر	unk aa b t aa r
أبث	unk aa b aa th aa
أبخازيا	unk aa b unk aa z y aa
أبخق	unk aa b unk aa q
أبد	unk aa b aa d
أبد	unk aa b aa d aa
أبد	unk aa b b aa d aa
أبد	unk aa b d uw
أبدا	unk aa b aa d aa n
أبدة	unk uw b b aa d aa
أبدى	unk aa b d aa
أبدي	unk aa b aa d unk y y
أبدي	unk aa b b unk d iy
أبدية	unk aa b aa d unk y y aa
أبذة	unk uw b b aa dh aa
أبر	unk aa b aa r aa
أبر	unk aa b aa r r aa
أبرز	b aa r aa z aa
أبرز	unk aa b r aa z
أبرز	unk aa b r uw z
أبرز	unk aa b r uw z aa
أبرم	unk aa b r aa m aa
أبريل	unk aa b r iy l
أبسطة	unk aa b s unk t aa
أبش	unk aa b aa sh aa
أبش	unk aa b aa sh sh uw
أبطل	unk aa b t aa l aa
أبكم	unk aa b k aa m
أبلس	unk aa b l aa s aa
أبلق	unk aa b l aa q
أبله	unk aa b l aa hh
أبنوس	unk aa b aa n uw s
أبنوس	unk aa b n uw s
أبها	unk aa b hh aa
أبهة	unk uw b b aa hh aa
أبهج	unk aa b hh aa jh aa
أبوان	unk aa b aa w aa n
أبوة	unk uw b uw w w aa
أبوت	unk uw b uw t
أبود	unk uw b uw d
أبيدجان	unk aa b iy d jh aa n
أبيض	unk aa b y aa dh2
أتاح	unk aa t aa unk aa
أترج	unk uw t r uw jh jh
أتقن	unk aa t q aa n aa
أتلف	unk aa t l aa f aa
أتمت	unk aa t m aa t aa
أتوبوس	unk ow t ow b uw s
أتوبيس	unk ow t ow b iy s
أتوم	unk aa t uw m
أتون	unk aa t t uw n
أتى	unk aa t aa
أثاث	unk aa th aa th
أثث	unk aa th th aa th aa
أثجل	unk aa th jh aa l
أثرة	unk aa th aa r aa
أثرة	unk aa th r aa
أثرة	unk uw th r aa
أثقال	unk aa th q aa l
أثل	unk aa th aa l aa t
أثل	unk aa th l
أثل	unk aa th l aa
أثل	unk uw th uw l
أثلج	unk aa th l aa jh aa
أثم	unk aa th unk m aa
أثناء	unk aa th n aa unk
أثناء	unk aa th n aa unk aa
أثنى	unk aa th n aa
أثيم	unk aa th iy m
أثينا	unk aa th iy n aa
أثيوبيا	unk aa th y ow b y aa
أثيوبيا	unk aa th y uw b unk y aa
أثيوبيا	unk aa th y uw b y aa
أثيوبيا	unk aa th y uw b y aa
أثيوبيا	unk aa th y uw p y aa
أجاب	unk aa jh aa b aa
أجاب	unk uw jh aa b uw
أجار	unk aa jh aa r aa
أجدب	unk aa jh d aa b
أجدع	unk aa jh d aa ai
أجذاع	unk aa jh dh aa ai
أجرب	unk aa jh r aa b
أجرد	unk aa jh r aa d
أجزاء	unk aa jh z aa unk
أجش	unk aa jh aa sh sh
أجل	unk aa jh aa l
أجل	unk aa jh aa l l
أجل	unk aa jh jh aa l aa
أجل	unk aa jh l
أجلح	unk aa jh l aa unk
أجلى	unk aa jh l aa
أجمة	unk aa jh aa m aa
أجمع	unk aa jh m aa ai
أجمع	unk aa jh m aa ai aa
أجمعون	unk aa jh m aa ai uw n
أجمعين	unk aa jh m aa ai iy n
أجنبي	unk aa jh n aa b unk y y
أجنبيات	unk aa jh n aa b unk y y aa t
أجندة	unk aa jh unk n d aa
أجهد	unk aa jh hh aa d aa
أجهض	unk aa jh hh aa dh2 aa
أجوف	unk aa jh w aa f
أجيال	unk aa jh y aa l
أجير	unk aa jh iy r
أجير	unk uw jh iy r aa
أجير	unk uw jh iy r uw
أحادي	unk uw unk aa d unk y y
أحاسيس	unk aa unk aa s iy s
أحاط	unk aa unk aa t aa
أحاط	unk uw unk aa t aa
أحاط	unk uw unk aa t uw
أحب	unk aa unk aa b b
أحب	unk aa unk aa b b aa
أحبك	unk uw unk unk b b uw k aa
أحبك	unk uw unk unk b b uw k unk
أحجم	unk aa unk jh aa m aa
أحجية	unk uw unk jh unk y aa
أحجية	unk uw unk jh unk y y aa
