ء	y ih
ء	g aa ow
ء	g aa unk ow
ء	h ah m z aa
ء	unk
آئرلینڈ	aa ih unk l eh n dx
آئی	aa iy
آئین	aa iy n
آئینہ	aa iy n aa
آب	aa b
آباد	aa b aa d
آبادانی	aa b aa d aa n iy
آبادی	aa b aa d iy
آبدوز	aa b d ow z
آبشار	aa b sh aa unk
آبنائے	aa b n aa ey
آبچین	aa b ch iy n
آبی	aa b iy
آتش	aa t ih sh
آتما	aa t m aa
آتنکوادی	aa t ah ng k v aa d iy
آج	aa jh
آخرت	aa unk ih unk ah t
آخری	aa unk unk iy
آخن	aa unk ah n
آخور	aa unk ow unk
آداب	aa d aa b
آدر	aa d ah unk
آدم	aa d ah m
آدمی	aa d m iy
آدھا	aa dh aa
آدھنک	aa dh uh n ih k
آذر	aa z ah unk
آذربائیجان	aa z ah unk b aa ih jh aa n
آرام	aa unk aa m
آربل	aa unk b ah l
آرزو	aa unk z uw
آرمبھ	aa unk ah m bh
آرمی	aa unk m iy
آرمینیا	aa unk m ey n ih y aa
آرمینیا	aa unk m iy n ih y aa
آروپ	aa unk ow p
آروگیہ	aa unk ow g y aa
آریامن	aa unk y ah m ah n
آریہ	aa unk y
آرے	aa unk ey
آزاد	aa z aa d
آزادی	aa z aa d iy
آزمائش	aa z m aa ih sh
آزمانا	aa z m aa n aa
آزمودگی	aa z m uw d ah g iy
آزمودہ	aa z m uw d aa
آس	aa s
آسام	aa s aa m
آسامی	aa s aa m iy
آسان	aa s aa n
آسان	ah s aa n
آسانی	aa s aa n iy
آستھا	aa s th aa
آستین	aa s t iy n
آسرا	aa s unk aa
آسمان	aa s m aa n
آسمانی	aa s m aa n iy
آسن	aa s ah n
آسند	aa s ah n d
آسٹریا	aa s tx unk ih y aa
آسٹریلیا	aa s tx unk ey l ih y aa
آسکت	aa s ah k t
آسکول	aa s k ow l
آسیب	aa s ey b
آشچریہ	aa sh ch ah unk y
آشیرواد	aa sh iy unk v aa d
آغا	aa gq aa
آغاز	aa gq aa z
آغوش	aa gq ow sh
آفت	aa f ah t
آفتاب	aa f t aa b
آفتابی	aa f t aa b iy
آفریدی	aa f unk iy d iy
آفرین	aa f unk iy n
آقا	aa q aa
آقچہ	aa q ch aa
آلس	aa l ah s
آلسی	aa l s iy
آلنگن	aa l ih ng g ah n
آلو	aa l uw
آلود	aa l uw d
آلودگی	aa l uw d ah g iy
آلودہ	aa l uw d aa
آلوچنا	aa l ow ch n aa
آلچی	aa l ch iy
آلہ	aa l aa
آم	aa m
آمر	aa m ih unk
آمریت	aa m ih unk ih y ah t
آمنہ	aa m ih n aa
آموختہ	aa m ow unk t aa
آمود	aa m ow d
آموزش	aa m ow z ih sh
آمیزش	aa m ey z ih sh
آنا	aa n aa
آندھی	aa n dh iy
آنسو	aa n s uw
آنسو	aa s uw
آنکھ	aa kh
آنکھ	aa kh
آنکھو	aa ng kh ow
آنکھوں	aa kh ow
آنکھیں	aa ng kh eh
آنگن	aa ng g ah n
آواران	aa v aa unk aa n
آوارہ	aa v aa unk aa
آواز	aa v aa z
آوشيکتا	aa v ah sh y ah k t aa
آٹا	aa tx aa
آٹھ	aa txh
آٹھواں	aa txh w aa
آٹھواں	aa txh v aa
آپ	aa p
آپا	aa p aa
آپی	aa p iy
آچار	aa ch aa unk
آڑو	aa r uw
آکاش	aa k aa sh
آکاشی	aa k aa sh iy
آکرشت	aa k ah unk sh ih t
آکرمن	aa k unk ah m ah n
آکھیٹ	aa kh ey tx
آگ	aa g
آگار	aa g aa unk
آگرہ	aa g unk ah h
آگھات	aa g aa t
آگے	aa g ey
آہ	aa h
آہستہ	aa h ih s t aa
آہو	aa h uw
آیا	aa y aa
آیت	aa y ah t
ا	aa
ا	ah
ا	ah l ih f
ا	unk
ابابیل	ah b aa b iy l
اباضی	ih b aa z iy
ابال	uh b aa l
ابالنا	uh b aa l n aa
ابتدا	ih b t ih d aa
ابتدائی	ih b t ih d aa iy
ابتسام	ih b t ih s aa m
ابدا	ah b d ah n
ابراہیم	ih b unk aa h iy m
ابرق	ah b unk ah q
ابرنجن	ah b unk ah n jh ah n
ابرنجین	ah b unk ah n jh iy n
ابریق	ih b unk iy q
ابلق	ah b l ah q
ابلنا	uh b ah l n aa
ابلیس	ih b l iy s
ابلیسیانہ	ih b l iy s ih y aa n aa
ابن	ih b n
ابنہ	ih b n aa
ابو	ah b uw
ابٹن	uh b tx ah n
ابکائی	uh b k aa iy
ابھار	uh bh aa unk
ابھاو	ah bh aa v
ابھرتا	uh bh ah unk t aa
ابھشیک	ah bh ih sh ey k
ابھمان	ah bh ih m aa n
ابھی	ah bh iy
ابھی	ah bh ah y
ابہام	ih b h aa m
اتارنا	uh t aa unk n aa
اتاق	uw t aa q
اتالیق	ah t aa l iy q
اتحاد	ih t eh h aa d
اتحاد	ih t ih h aa d
اتحادی	ih t t ih h aa d iy
اترنا	uh t ah unk n aa
اتصال	ih t t ih s aa l
اتفاق	ih t t ih f aa q
اتفاقا	ih t t ih f aa q ah n
اتم	ah t ah m
اتمام	ih t m aa m
اتمک	ah t m ah k
اتوار	ih t v aa unk
اتھان	uh t th aa n
اتہاس	ih t ih h aa s
اتہام	ih t t ih h aa m
اتیاچاری	ah t y aa ch aa unk iy
اثاث	ah s aa s
اثبات	ih s b aa t
اثر	ah s ah unk
اثنا	ah s n aa
اجازت	ih jh aa z ah t
اجالا	uh jh aa l aa
اجالنا	uh jh aa l n aa
اجتماع	ih jh t ih m aa
اجر	ah jh unk
اجرا	ih jh unk aa
اجرت	uh jh unk ah t
اجزا	ah jh z aa
اجل	ah jh ah l
اجلاس	ih jh l aa s
اجمالی	ih jh m aa l iy
اجنبی	ah jh n ah b iy
اجوائن	ah jh v aa ih n
اجگر	ah jh g ah unk
اجی	ah jh iy
احباب	ah h b aa b
احتجاج	ey h t ih jh aa jh
احترام	eh h t eh unk aa m
احترام	eh h t ih unk aa m
احتمال	ey h t ey m aa l
احتیاج	ih h t ih y aa jh
احساس	eh h s aa s
احسان	ah h ah s aa n
احشا	ah h sh aa
احمد	ah h m ah d
احمق	ah h m ah q
احوال	ah h v aa l
احیا	ah h y aa
احیا	ih h y aa
اخاہ	ah kh aa h
اخبار	ah unk b aa unk
اختلاف	ih unk t ih l aa f
اختہ	ah unk t aa
اختیار	ih unk t ih y aa unk
اختیاری	ih unk t ih y aa unk iy
اخذ	ah unk z
اخروٹ	ah unk unk ow tx
اخلاط	ah unk l aa t
اخلاق	ah unk l aa q
اخلاق	ih unk l aa q
ادا	ah d aa
ادائیگی	ah d aa iy g iy
ادارتی	ih d aa unk ah t iy
ادارہ	ih d aa unk aa
اداری	ih d aa unk iy
اداس	uh d aa s
اداسی	uh d aa s iy
اداہرن	uh d aa h unk ah n
ادب	ah d ah b
ادبا	uh d ah b aa
ادبی	ah d ah b iy
ادبیات	ah d ah b ih y y aa t
ادرنہ	ah d ih unk n aa
ادرک	ah d unk ah k
ادریس	ih d unk iy s
اديان	ah d y aa n
ادھار	uh dh aa unk
ادھلنا	uh dh ah l n aa
ادھماس	ah dh ih m aa s
ادھورا	ah dh uw unk aa
ادھکار	ah dh ih k aa unk
ادھکاری	ah dh ih k aa unk iy
ادھیڑ	ah dh ey r
ادہم	ah d h ah m
ادیب	ah d iy b
ادیہ	ah d y
اذن	ih z n
اذیت	ah z ih y ah t
ارب	ah unk ah b
ارتعاش	ih unk t ih aa sh
ارتھ	ah unk th
ارجت	ah unk jh ih t
ارجن	ah unk jh ah n
ارجن	ah unk jh uh n
ارجنٹائن	ah unk jh ah n tx aa ih n
اردلی	ah unk d ah l iy
اردن	uh unk d uh n
اردو	uh unk d uw
ارز	ah unk z
ارسطو	ah unk ah s t uw
ارش	ah unk sh
ارض	ah unk z
ارغوانی	ah unk gq v aa n iy
ارمان	ah unk m aa n
ارمنستان	ah unk m ah n ih s t aa n
ارمیا	ih unk m ih y aa
ارے	ah unk ey
از	ah z
ازبک	uh z b ah k
ازبکستان	uh z b ah k ih s t aa n
ازدواج	ih z d ih v aa jh
اساس	ah s aa s
اساس	uh s aa s
اساسی	ah s aa s iy
اسباب	ah s b aa b
استاد	uh s t aa d
استبداد	ih s t ih b d aa d
استخلاف	ih s t ih unk l aa f
استخوان	uh s t uh unk w aa n
استر	ah s t ah unk
استری	ih s t ah unk iy
استری	ih s t ih unk iy
استری	ih s t unk iy
استعفی	ih s t iy f aa
استعمال	ih s t ey m aa l
استقبال	ih s t ih q b aa l
استنبول	ih s t ah m b ow l
استوار	uh s t ah w aa unk
استوار	uh s t uh v aa unk
استور	ah s t ow unk
استھ	ah s th iy
اسحاق	ih s h aa q
اسرائیل	ih s unk aa iy l
اسراف	ih s unk aa f
اسلام	ih s l aa m
اسلامی	ih s l aa m iy
اسلحہ	ah s l ah h aa
اسلحہ	ah s l ih h aa
اسلوب	uh s l uw b
اسم	ah s ah m
اسم	ih s m
اسماعیل	ih s m aa unk iy l
اسٹیشن	ih s tx ey sh ah n
اسٹیڈیم	ih s tx ey dx ih y ah m
اسپ	ah s p
اسپات	ih s p aa t
اسپتال	ah s p ah t aa l
اسپغول	ih s p ah gq ow l
اسکول	ih s k uw l
اسہال	ih s h aa l
اسیر	ah s iy unk
اسیری	ah s iy unk iy
اشارہ	ih sh aa unk aa
اشاعت	ih sh aa t
اشاعت	ih sh aa unk ah t
اشبھ	ah sh uh bh
اشبیلیہ	ah sh b iy l ih y aa h
اشتباہا	ih sh t ih b aa h ah n
اشتراک	ih sh t ih unk aa k
اشتراکیت	ih sh t ih unk aa k ih y ah t
اشتقاق	ih sh t ih q aa q
اشتہا	ih sh t ih h aa
اشتہار	ih sh t ih h aa unk
اشراق	ih sh unk aa q
اشوک	ah sh ow k
اشک	ah sh k
اصطبل	ah s t ah b ah l
اصطلاح	ih s t ih l aa h
