ء	ʔ
آ	aː
آبد	aː b a d
آبلة	aː b a l a
آبيس	aː b iː s
آتشيوت	aː t a ʃ iː uː t
آتشيوت	aː t a ʃ iː uː t
آتون	aː t uː n
آثار	aː θ aː r
آثام	aː θ aː m
آح	aː ħ
آخر	aː x a r
آخر	aː x a r
آخرة	aː x a r a
آخرة	aː x a r a
آخن	aː x a n
آدب	aː d a b
آدم	aː d a m
آدمي	aː d a m iː
آذان	aː ð aː n
آذريون	aː ð a r iː uː n
آذى	aː ð aː
آس	aː s
آسف	aː s a f
آسف	aː s a f
آسفي	aː s a f iː
آسيوي	aː s iː uː iː
آش	aː ʃ
آشوري	aː ʃ uː r iː
آصف	aː sˤ a f
آصف	aː sˤ a f
آفات	aː f aː t
آفة	aː f a
آفرین	aː f a r a n
آل	aː l
آل	aː l
آل	aː l
آلات	aː l aː t
آلاف	aː l aː f
آلة	aː l a
آلف	aː l a f
آلي	aː l iː
آلية	aː l iː a
آمال	aː m aː l
آمن	aː m a n
آمن	aː m a n
آمن	aː m a n
آمن	aː m a n
آمن	aː m a n
آمن	aː m a n
آمن	aː m a n
آمنة	aː m a n a
آمون	aː m uː n
آمين	aː m iː n
آنسة	aː n a s a
آنك	aː n a k
آنى	aː n aː
آني	aː n iː
آية	aː iː a
آيسلندا	aː iː s a l a n a d aː
آيوا	aː iː uː aː
أ	ʔa
أ	ʔa
أ	ʔa
أب	ʔa a b
أباجور	ʔa a b aː d͡ʒ uː r
أباح	ʔa a b aː ħ
أباخس	ʔa a b aː x a s
أباد	ʔa a b aː d
أباريق	ʔa a b aː r iː q
أباس	ʔa a b aː s
أباسخيرون	ʔa a b aː s a x iː r uː n
أبان	ʔa a b aː n
أبتر	ʔa a b a t a r
أبث	ʔa a b a θ
أبخازيا	ʔa a b a x aː z iː aː
أبخق	ʔa a b a x a q
أبد	ʔa a b a d
أبد	ʔa a b a d
أبد	ʔa a b a d
أبد	ʔa a b a d
أبدا	ʔa a b a d aː
أبدة	ʔa a b a d a
أبدى	ʔa a b a d aː
أبدي	ʔa a b a d iː
أبدي	ʔa a b a d iː
أبدية	ʔa a b a d iː a
أبذة	ʔa a b a ð a
أبر	ʔa a b a r
أبر	ʔa a b a r
أبرز	ʔa a b a r a z
أبرز	ʔa a b a r a z
أبرز	ʔa a b a r a z
أبرز	ʔa a b a r a z
أبرم	ʔa a b a r a m
أبريل	ʔa a b a r iː l
أبسطة	ʔa a b a s a tˤ a
أبش	ʔa a b a ʃ
أبش	ʔa a b a ʃ
أبطل	ʔa a b a tˤ a l
أبكم	ʔa a b a k a m
أبلس	ʔa a b a l a s
أبلق	ʔa a b a l a q
أبله	ʔa a b a l a h
أبنوس	ʔa a b a n uː s
أبنوس	ʔa a b a n uː s
أبها	ʔa a b a h aː
أبهة	ʔa a b a h a
أبهج	ʔa a b a h a d͡ʒ
أبوان	ʔa a b uː aː n
أبوة	ʔa a b uː a
أبوت	ʔa a b uː t
أبود	ʔa a b uː d
أبيدجان	ʔa a b iː d a d͡ʒ aː n
أبيض	ʔa a b iː dˤ
أتاح	ʔa a t aː ħ
أترج	ʔa a t a r a d͡ʒ
أتقن	ʔa a t a q a n
أتلف	ʔa a t a l a f
أتمت	ʔa a t a m a t
أتوبوس	ʔa a t uː b uː s
أتوبيس	ʔa a t uː b iː s
أتوم	ʔa a t uː m
أتون	ʔa a t uː n
أتى	ʔa a t aː
أثاث	ʔa a θ aː θ
أثث	ʔa a θ a θ
أثجل	ʔa a θ a d͡ʒ a l
أثرة	ʔa a θ a r a
أثرة	ʔa a θ a r a
أثرة	ʔa a θ a r a
أثقال	ʔa a θ a q aː l
أثل	ʔa a θ a l
أثل	ʔa a θ a l
أثل	ʔa a θ a l
أثل	ʔa a θ a l
أثلج	ʔa a θ a l a d͡ʒ
أثم	ʔa a θ a m
أثناء	ʔa a θ a n aː ʔ
أثناء	ʔa a θ a n aː ʔ
أثنى	ʔa a θ a n aː
أثيم	ʔa a θ iː m
أثينا	ʔa a θ iː n aː
أثيوبيا	ʔa a θ iː uː b iː aː
أثيوبيا	ʔa a θ iː uː b iː aː
أثيوبيا	ʔa a θ iː uː b iː aː
أثيوبيا	ʔa a θ iː uː b iː aː
أثيوبيا	ʔa a θ iː uː b iː aː
أجاب	ʔa a d͡ʒ aː b
أجاب	ʔa a d͡ʒ aː b
أجار	ʔa a d͡ʒ aː r
أجدب	ʔa a d͡ʒ a d a b
أجدع	ʔa a d͡ʒ a d a ʕ
أجذاع	ʔa a d͡ʒ a ð aː ʕ
أجرب	ʔa a d͡ʒ a r a b
أجرد	ʔa a d͡ʒ a r a d
أجزاء	ʔa a d͡ʒ a z aː ʔ
أجش	ʔa a d͡ʒ a ʃ
أجل	ʔa a d͡ʒ a l
أجل	ʔa a d͡ʒ a l
أجل	ʔa a d͡ʒ a l
أجل	ʔa a d͡ʒ a l
أجلح	ʔa a d͡ʒ a l a ħ
أجلى	ʔa a d͡ʒ a l aː
أجمة	ʔa a d͡ʒ a m a
أجمع	ʔa a d͡ʒ a m a ʕ
أجمع	ʔa a d͡ʒ a m a ʕ
أجمعون	ʔa a d͡ʒ a m a ʕ uː n
أجمعين	ʔa a d͡ʒ a m a ʕ iː n
أجنبي	ʔa a d͡ʒ a n a b iː
أجنبيات	ʔa a d͡ʒ a n a b iː aː t
أجندة	ʔa a d͡ʒ a n a d a
أجهد	ʔa a d͡ʒ a h a d
أجهض	ʔa a d͡ʒ a h a dˤ
أجوف	ʔa a d͡ʒ uː f
أجيال	ʔa a d͡ʒ iː aː l
أجير	ʔa a d͡ʒ iː r
أجير	ʔa a d͡ʒ iː r
أجير	ʔa a d͡ʒ iː r
أحادي	ʔa a ħ aː d iː
أحاسيس	ʔa a ħ aː s iː s
أحاط	ʔa a ħ aː tˤ
أحاط	ʔa a ħ aː tˤ
أحاط	ʔa a ħ aː tˤ
أحب	ʔa a ħ a b
أحب	ʔa a ħ a b
أحبك	ʔa a ħ a b a k
أحبك	ʔa a ħ a b a k
أحجم	ʔa a ħ a d͡ʒ a m
أحجية	ʔa a ħ a d͡ʒ iː a
أحجية	ʔa a ħ a d͡ʒ iː a
أحد	ʔa a ħ a d
أحد	ʔa a ħ a d
أحرج	ʔa a ħ a r a d͡ʒ
أحرش	ʔa a ħ a r a ʃ
أحسن	ʔa a ħ a s a n
أحسن	ʔa a ħ a s a n
أحسن	ʔa a ħ a s a n
أحسن	ʔa a ħ a s a n
أحسن	ʔa a ħ a s a n
أحسن	ʔa a ħ a s a n
أحسن	ʔa a ħ a s a n
أحسن	ʔa a ħ a s a n
أحسن	ʔa a ħ a s a n
أحسن	ʔa a ħ a s a n
أحسن	ʔa a ħ a s a n
أحصن	ʔa a ħ a sˤ a n
أحصى	ʔa a ħ a sˤ aː
أحمر	ʔa a ħ a m a r
أحمق	ʔa a ħ a m a q
أحنك	ʔa a ħ a n a k
أحوج	ʔa a ħ uː d͡ʒ
أحور	ʔa a ħ uː r
أحول	ʔa a ħ uː l
أحيلى	ʔa a ħ iː l aː
أخ	ʔa a x
أخاديد	ʔa a x aː d iː d
أخاذ	ʔa a x aː ð
أخامص	ʔa a x aː m a sˤ
أخبر	ʔa a x a b a r
أخت	ʔa a x a t
أخثاث	ʔa a x a θ aː θ
أخدر	ʔa a x a d a r
أخدر	ʔa a x a d a r
أخدود	ʔa a x a d uː d
أخذ	ʔa a x a ð
أخذ	ʔa a x a ð
أخذ	ʔa a x a ð
أخرس	ʔa a x a r a s
أخرس	ʔa a x a r a s
أخرى	ʔa a x a r aː
أخشن	ʔa a x a ʃ a n
أخصائي	ʔa a x a sˤ aː ʔi iː
أخصر	ʔa a x a sˤ a r
أخضر	ʔa a x a dˤ a r
أخطأ	ʔa a x a tˤ a ʔa
أخطبوط	ʔa a x a tˤ a b uː tˤ
أخطبوط	ʔa a x a tˤ a b uː tˤ
أخلاط	ʔa a x a l aː tˤ
أخلاق	ʔa a x a l aː q
أخلاقي	ʔa a x a l aː q iː
أخلاقية	ʔa a x a l aː q iː a
أخمص	ʔa a x a m a sˤ
أخوة	ʔa a x uː a
أخوية	ʔa a x uː iː a
أخياط	ʔa a x iː aː tˤ
أخيرى	ʔa a x iː r aː
أداة	ʔa a d aː a
أدار	ʔa a d aː r
أداف	ʔa a d aː f
أدان	ʔa a d aː n
أدب	ʔa a d a b
أدب	ʔa a d a b
أدبة	ʔa a d a b a
أدبي	ʔa a d a b iː
أدبي	ʔa a d a b iː
أدبيا	ʔa a d a b iː aː
أدبيات	ʔa a d a b iː aː t
أدجى	ʔa a d a d͡ʒ aː
أدحوة	ʔa a d a ħ uː a
أدحية	ʔa a d a ħ iː a
أدحية	ʔa a d a ħ iː a
أدرك	ʔa a d a r a k
أدرنة	ʔa a d a r a n a
أدكن	ʔa a d a k a n
أدلة	ʔa a d a l a
أدلج	ʔa a d a l a d͡ʒ
أدمن	ʔa a d a m a n
أدهش	ʔa a d a h a ʃ
أدهش	ʔa a d a h a ʃ
أدهش	ʔa a d a h a ʃ
أدهش	ʔa a d a h a ʃ
أدهش	ʔa a d a h a ʃ
أدهش	ʔa a d a h a ʃ
أدهش	ʔa a d a h a ʃ
أدهش	ʔa a d a h a ʃ
أدهم	ʔa a d a h a m
أدوية	ʔa a d uː iː a
أدى	ʔa a d aː
أديب	ʔa a d iː b
أديبة	ʔa a d iː b a
أذاع	ʔa a ð aː ʕ
أذانة	ʔa a ð aː n a
أذر	ʔa a ð a r
أذربيجان	ʔa a ð a r a b iː d͡ʒ aː n
أذربيجان	ʔa a ð a r a b iː d͡ʒ aː n
أذربيجاني	ʔa a ð a r a b iː d͡ʒ aː n iː
أذربيجانية	ʔa a ð a r a b iː d͡ʒ aː n iː a
أذري	ʔa a ð a r iː
أذرية	ʔa a ð a r iː a
أذعن	ʔa a ð a ʕ a n
أذن	ʔa a ð a n
أذن	ʔa a ð a n
أذن	ʔa a ð a n
أذن	ʔa a ð a n
أذن	ʔa a ð a n
أذن	ʔa a ð a n
أذى	ʔa a ð aː
أذية	ʔa a ð iː a
أراد	ʔa a r aː d
أربعة	ʔa a r a b a ʕ a
أربعة	ʔa a r a b a ʕ a
أربعون	ʔa a r a b a ʕ uː n
أربيل	ʔa a r a b iː l
أرثوذكس	ʔa a r a θ uː ð a k a s
أرثوذكسي	ʔa a r a θ uː ð a k a s iː
أرثوذكسية	ʔa a r a θ uː ð a k a s iː a
أرجأ	ʔa a r a d͡ʒ a ʔa
أرجان	ʔa a r a d͡ʒ aː n
أرجواني	ʔa a r a d͡ʒ uː aː n iː
أرجواني	ʔa a r a d͡ʒ uː aː n iː
أرجونة	ʔa a r a d͡ʒ uː n a
أرجيش	ʔa a r a d͡ʒ iː ʃ
أرح	ʔa a r a ħ
أرخ	ʔa a r a x
أرخبيل	ʔa a r a x a b iː l
أردف	ʔa a r a d a f
أردمون	ʔa a r a d a m uː n
أردني	ʔa a r a d a n iː
أردني	ʔa a r a d a n iː
أردى	ʔa a r a d aː
أرز	ʔa a r a z
أرز	ʔa a r a z
أرز	ʔa a r a z
أرز	ʔa a r a z
أرستقراطي	ʔa a r a s a t a q a r aː tˤ iː
أرستقراطية	ʔa a r a s a t a q a r aː tˤ iː a
أرسطو	ʔa a r a s a tˤ uː
أرسطوطاليس	ʔa a r a s a tˤ uː tˤ aː l iː s
أرسل	ʔa a r a s a l
أرشذونة	ʔa a r a ʃ a ð uː n a
أرشيدوق	ʔa a r a ʃ iː d uː q
أرشيدوقة	ʔa a r a ʃ iː d uː q a
أرشيدوقية	ʔa a r a ʃ iː d uː q iː a
أرصفة	ʔa a r a sˤ a f a
أرض	ʔa a r a dˤ
أرضة	ʔa a r a dˤ a
أرضي	ʔa a r a dˤ iː
أرضية	ʔa a r a dˤ iː a
أرعب	ʔa a r a ʕ a b
أرغان	ʔa a r a ɣ aː n
أرغفة	ʔa a r a ɣ a f a
أرقان	ʔa a r a q aː n
أرقان	ʔa a r a q aː n
أركان	ʔa a r a k aː n
أركش	ʔa a r a k a ʃ
أركن	ʔa a r a k a n
أركنساس	ʔa a r a k a n a s aː s
أركون	ʔa a r a k uː n
أرم	ʔa a r a m
أرم	ʔa a r a m
أرمل	ʔa a r a m a l
أرمل	ʔa a r a m a l
أرملة	ʔa a r a m a l a
أرمن	ʔa a r a m a n
أرمية	ʔa a r a m iː a
أرمية	ʔa a r a m iː a
أرمينيا	ʔa a r a m iː n iː aː
أرنؤدي	ʔa a r a n a ʔu a d iː
أرنب	ʔa a r a n a b
أرنيط	ʔa a r a n iː tˤ
أرهب	ʔa a r a h a b
أرهق	ʔa a r a h a q
أرواح	ʔa a r uː aː ħ
أروفى	ʔa a r uː f aː
أرومة	ʔa a r uː m a
أرومة	ʔa a r uː m a
أرومية	ʔa a r uː m iː a
أريج	ʔa a r iː d͡ʒ
