ء	ʔ
ء	ʔ
ء	ʔ
ء	ʔ
ء	ʔ
آئرلینڈ	aː iː r l iː n ɖ
آئی	aː iː iː
آئین	aː iː iː n
آئینہ	aː iː iː n h
آب	aː b
آباد	aː b aː d̪
آبادانی	aː b aː d̪ aː n iː
آبادی	aː b aː d̪ iː
آبدوز	aː b d̪ oː z
آبشار	aː b ʃ aː r
آبنائے	aː b n aː iː eː
آبچین	aː b t͡ʃ iː n
آبی	aː b iː
آتش	aː t̪ ʃ
آتما	aː t̪ m aː
آتنکوادی	aː t̪ n k oː aː d̪ iː
آج	aː d͡ʒ
آخرت	aː x r t̪
آخری	aː x r iː
آخن	aː x n
آخور	aː x oː r
آداب	aː d̪ aː b
آدر	aː d̪ r
آدم	aː d̪ m
آدمی	aː d̪ m iː
آدھا	aː d̪ʰ aː
آدھنک	aː d̪ʰ n k
آذر	aː z r
آذربائیجان	aː z r b aː iː iː d͡ʒ aː n
آرام	aː r aː m
آربل	aː r b l
آرزو	aː r z oː
آرمبھ	aː r m bʰ
آرمی	aː r m iː
آرمینیا	aː r m iː n iː aː
آرمینیا	aː r m iː n iː aː
آروپ	aː r oː p
آروگیہ	aː r oː g iː h
آریامن	aː r iː aː m n
آریہ	aː r iː h
آرے	aː r eː
آزاد	aː z aː d̪
آزادی	aː z aː d̪ iː
آزمائش	aː z m aː iː ʃ
آزمانا	aː z m aː n aː
آزمودگی	aː z m oː d̪ g iː
آزمودہ	aː z m oː d̪ h
آس	aː s
آسام	aː s aː m
آسامی	aː s aː m iː
آسان	aː s aː n
آسان	aː s aː n
آسانی	aː s aː n iː
آستھا	aː s t̪ʰ aː
آستین	aː s t̪ iː n
آسرا	aː s r aː
آسمان	aː s m aː n
آسمانی	aː s m aː n iː
آسن	aː s n
آسند	aː s n d̪
آسٹریا	aː s ʈ r iː aː
آسٹریلیا	aː s ʈ r iː l iː aː
آسکت	aː s k t̪
آسکول	aː s k oː l
آسیب	aː s iː b
آشچریہ	aː ʃ t͡ʃ r iː h
آشیرواد	aː ʃ iː r oː aː d̪
آغا	aː ɣ aː
آغاز	aː ɣ aː z
آغوش	aː ɣ oː ʃ
آفت	aː f t̪
آفتاب	aː f t̪ aː b
آفتابی	aː f t̪ aː b iː
آفریدی	aː f r iː d̪ iː
آفرین	aː f r iː n
آقا	aː q aː
آقچہ	aː q t͡ʃ h
آلس	aː l s
آلسی	aː l s iː
آلنگن	aː l n g n
آلو	aː l oː
آلود	aː l oː d̪
آلودگی	aː l oː d̪ g iː
آلودہ	aː l oː d̪ h
آلوچنا	aː l oː t͡ʃ n aː
آلچی	aː l t͡ʃ iː
آلہ	aː l h
آم	aː m
آمر	aː m r
آمریت	aː m r iː t̪
آمنہ	aː m n h
آموختہ	aː m oː x t̪ h
آمود	aː m oː d̪
آموزش	aː m oː z ʃ
آمیزش	aː m iː z ʃ
آنا	aː n aː
آندھی	aː n d̪ʰ iː
آنسو	aː n s oː
آنسو	aː n s oː
آنکھ	aː n kʰ
آنکھ	aː n kʰ
آنکھو	aː n kʰ oː
آنکھوں	aː n kʰ oː n
آنکھیں	aː n kʰ iː n
آنگن	aː n g n
آواران	aː oː aː r aː n
آوارہ	aː oː aː r h
آواز	aː oː aː z
آوشيکتا	aː oː ʃ iː k t̪ aː
آٹا	aː ʈ aː
آٹھ	aː ʈʰ
آٹھواں	aː ʈʰ oː aː n
آٹھواں	aː ʈʰ oː aː n
آپ	aː p
آپا	aː p aː
آپی	aː p iː
آچار	aː t͡ʃ aː r
آڑو	aː ɽ oː
آکاش	aː k aː ʃ
آکاشی	aː k aː ʃ iː
آکرشت	aː k r ʃ t̪
آکرمن	aː k r m n
آکھیٹ	aː kʰ iː ʈ
آگ	aː g
آگار	aː g aː r
آگرہ	aː g r h
آگھات	aː gʰ aː t̪
آگے	aː g eː
آہ	aː h
آہستہ	aː h s t̪ h
آہو	aː h oː
آیا	aː iː aː
آیت	aː iː t̪
ا	aː
ا	aː
ا	aː
ا	aː
ابابیل	aː b aː b iː l
اباضی	aː b aː zˤ iː
ابال	aː b aː l
ابالنا	aː b aː l n aː
ابتدا	aː b t̪ d̪ aː
ابتدائی	aː b t̪ d̪ aː iː iː
ابتسام	aː b t̪ s aː m
ابدا	aː b d̪ aː
ابراہیم	aː b r aː h iː m
ابرق	aː b r q
ابرنجن	aː b r n d͡ʒ n
ابرنجین	aː b r n d͡ʒ iː n
ابریق	aː b r iː q
ابلق	aː b l q
ابلنا	aː b l n aː
ابلیس	aː b l iː s
ابلیسیانہ	aː b l iː s iː aː n h
ابن	aː b n
ابنہ	aː b n h
ابو	aː b oː
ابٹن	aː b ʈ n
ابکائی	aː b k aː iː iː
ابھار	aː bʰ aː r
ابھاو	aː bʰ aː oː
ابھرتا	aː bʰ r t̪ aː
ابھشیک	aː bʰ ʃ iː k
ابھمان	aː bʰ m aː n
ابھی	aː bʰ iː
ابھی	aː bʰ iː
ابہام	aː b h aː m
اتارنا	aː t̪ aː r n aː
اتاق	aː t̪ aː q
اتالیق	aː t̪ aː l iː q
اتحاد	aː t̪ h aː d̪
اتحاد	aː t̪ h aː d̪
اتحادی	aː t̪ h aː d̪ iː
اترنا	aː t̪ r n aː
اتصال	aː t̪ sˤ aː l
اتفاق	aː t̪ f aː q
اتفاقا	aː t̪ f aː q aː
اتم	aː t̪ m
اتمام	aː t̪ m aː m
اتمک	aː t̪ m k
اتوار	aː t̪ oː aː r
اتھان	aː t̪ʰ aː n
اتہاس	aː t̪ h aː s
اتہام	aː t̪ h aː m
اتیاچاری	aː t̪ iː aː t͡ʃ aː r iː
اثاث	aː s aː s
اثبات	aː s b aː t̪
اثر	aː s r
اثنا	aː s n aː
اجازت	aː d͡ʒ aː z t̪
اجالا	aː d͡ʒ aː l aː
اجالنا	aː d͡ʒ aː l n aː
اجتماع	aː d͡ʒ t̪ m aː ʔ
اجر	aː d͡ʒ r
اجرا	aː d͡ʒ r aː
اجرت	aː d͡ʒ r t̪
اجزا	aː d͡ʒ z aː
اجل	aː d͡ʒ l
اجلاس	aː d͡ʒ l aː s
اجمالی	aː d͡ʒ m aː l iː
اجنبی	aː d͡ʒ n b iː
اجوائن	aː d͡ʒ oː aː iː n
اجگر	aː d͡ʒ g r
اجی	aː d͡ʒ iː
احباب	aː h b aː b
احتجاج	aː h t̪ d͡ʒ aː d͡ʒ
احترام	aː h t̪ r aː m
احترام	aː h t̪ r aː m
احتمال	aː h t̪ m aː l
احتیاج	aː h t̪ iː aː d͡ʒ
احساس	aː h s aː s
احسان	aː h s aː n
احشا	aː h ʃ aː
احمد	aː h m d̪
احمق	aː h m q
احوال	aː h oː aː l
احیا	aː h iː aː
احیا	aː h iː aː
اخاہ	aː x aː h
اخبار	aː x b aː r
اختلاف	aː x t̪ l aː f
اختہ	aː x t̪ h
اختیار	aː x t̪ iː aː r
اختیاری	aː x t̪ iː aː r iː
اخذ	aː x z
اخروٹ	aː x r oː ʈ
اخلاط	aː x l aː tˤ
اخلاق	aː x l aː q
اخلاق	aː x l aː q
ادا	aː d̪ aː
ادائیگی	aː d̪ aː iː iː g iː
ادارتی	aː d̪ aː r t̪ iː
ادارہ	aː d̪ aː r h
اداری	aː d̪ aː r iː
اداس	aː d̪ aː s
اداسی	aː d̪ aː s iː
اداہرن	aː d̪ aː h r n
ادب	aː d̪ b
ادبا	aː d̪ b aː
ادبی	aː d̪ b iː
ادبیات	aː d̪ b iː aː t̪
ادرنہ	aː d̪ r n h
ادرک	aː d̪ r k
ادریس	aː d̪ r iː s
اديان	aː d̪ iː aː n
ادھار	aː d̪ʰ aː r
ادھلنا	aː d̪ʰ l n aː
ادھماس	aː d̪ʰ m aː s
ادھورا	aː d̪ʰ oː r aː
ادھکار	aː d̪ʰ k aː r
ادھکاری	aː d̪ʰ k aː r iː
ادھیڑ	aː d̪ʰ iː ɽ
ادہم	aː d̪ h m
ادیب	aː d̪ iː b
ادیہ	aː d̪ iː h
اذن	aː z n
اذیت	aː z iː t̪
ارب	aː r b
ارتعاش	aː r t̪ ʔ aː ʃ
ارتھ	aː r t̪ʰ
ارجت	aː r d͡ʒ t̪
ارجن	aː r d͡ʒ n
ارجن	aː r d͡ʒ n
ارجنٹائن	aː r d͡ʒ n ʈ aː iː n
اردلی	aː r d̪ l iː
اردن	aː r d̪ n
اردو	aː r d̪ oː
ارز	aː r z
ارسطو	aː r s tˤ oː
ارش	aː r ʃ
ارض	aː r zˤ
ارغوانی	aː r ɣ oː aː n iː
ارمان	aː r m aː n
ارمنستان	aː r m n s t̪ aː n
ارمیا	aː r m iː aː
ارے	aː r eː
از	aː z
ازبک	aː z b k
ازبکستان	aː z b k s t̪ aː n
ازدواج	aː z d̪ oː aː d͡ʒ
اساس	aː s aː s
اساس	aː s aː s
اساسی	aː s aː s iː
اسباب	aː s b aː b
استاد	aː s t̪ aː d̪
استبداد	aː s t̪ b d̪ aː d̪
استخلاف	aː s t̪ x l aː f
استخوان	aː s t̪ x oː aː n
استر	aː s t̪ r
استری	aː s t̪ r iː
استری	aː s t̪ r iː
استری	aː s t̪ r iː
استعفی	aː s t̪ ʔ f iː
استعمال	aː s t̪ ʔ m aː l
استقبال	aː s t̪ q b aː l
استنبول	aː s t̪ n b oː l
استوار	aː s t̪ oː aː r
استوار	aː s t̪ oː aː r
استور	aː s t̪ oː r
استھ	aː s t̪ʰ
اسحاق	aː s h aː q
اسرائیل	aː s r aː iː iː l
اسراف	aː s r aː f
اسلام	aː s l aː m
اسلامی	aː s l aː m iː
اسلحہ	aː s l h h
اسلحہ	aː s l h h
اسلوب	aː s l oː b
اسم	aː s m
اسم	aː s m
اسماعیل	aː s m aː ʔ iː l
اسٹیشن	aː s ʈ iː ʃ n
اسٹیڈیم	aː s ʈ iː ɖ iː m
اسپ	aː s p
اسپات	aː s p aː t̪
اسپتال	aː s p t̪ aː l
اسپغول	aː s p ɣ oː l
اسکول	aː s k oː l
اسہال	aː s h aː l
اسیر	aː s iː r
اسیری	aː s iː r iː
اشارہ	aː ʃ aː r h
اشاعت	aː ʃ aː ʔ t̪
اشاعت	aː ʃ aː ʔ t̪
اشبھ	aː ʃ bʰ
اشبیلیہ	aː ʃ b iː l iː h
اشتباہا	aː ʃ t̪ b aː h aː
اشتراک	aː ʃ t̪ r aː k
اشتراکیت	aː ʃ t̪ r aː k iː t̪
اشتقاق	aː ʃ t̪ q aː q
اشتہا	aː ʃ t̪ h aː
اشتہار	aː ʃ t̪ h aː r
اشراق	aː ʃ r aː q
اشوک	aː ʃ oː k
اشک	aː ʃ k
اصطبل	aː sˤ tˤ b l
اصطلاح	aː sˤ tˤ l aː h
اصغر	aː sˤ ɣ r
اصل	aː sˤ l
اصلاح	aː sˤ l aː h
اصول	aː sˤ oː l
اصہار	aː sˤ h aː r
اصیل	aː sˤ iː l
اضافہ	aː zˤ aː f h
اضطراری	aː zˤ tˤ r aː r iː
اطالیہ	aː tˤ aː l iː h
اطفال	aː tˤ f aː l
اطلاع	aː tˤ l aː ʔ
اطلاقی	aː tˤ l aː q iː
اطلس	aː tˤ l s
اطمینان	aː tˤ m iː n aː n
اعتبار	aː ʔ t̪ b aː r
اعتراف	aː ʔ t̪ r aː f
اعتماد	aː ʔ t̪ m aː d̪
اعضا	aː ʔ zˤ aː
اعضا	aː ʔ zˤ aː
اعظم	aː ʔ zˤ m
اعلی	aː ʔ l iː
اغوا	aː ɣ oː aː
اغوا	aː ɣ oː aː
افراد	aː f r aː d̪
افریقہ	aː f r iː q h
افزائش	aː f z aː iː ʃ
افسانہ	aː f s aː n h
افطار	aː f tˤ aː r
افطاری	aː f tˤ aː r iː
افغان	aː f ɣ aː n
افغانستان	aː f ɣ aː n s t̪ aː n
افق	aː f q
افلاس	aː f l aː s
اقامت	aː q aː m t̪
اقتدار	aː q t̪ d̪ aː r
اقتصادی	aː q t̪ sˤ aː d̪ iː
اقلیت	aː q l iː t̪
اقلیت	aː q l iː t̪
اقلیم	aː q l iː m
الائچی	aː l aː iː t͡ʃ iː
البانیا	aː l b aː n iː aː
البتہ	aː l b t̪ h
الجزائر	aː l d͡ʒ z aː iː r
الحاق	aː l h aː q
الزام	aː l z aː m
اللہ	aː l l h
اللہ	aː l l h
الم	aː l m
الماری	aː l m aː r iː
الماس	aː l m aː s
النکار	aː l n k aː r
النکرت	aː l n k r t̪
الوداع	aː l oː d̪ aː ʔ
الوداع	aː l oː d̪ aː ʔ
الٹی	aː l ʈ iː
الکحل	aː l k h l
الگ	aː l g
الہام	aː l h aː m
الیاس	aː l iː aː s
الیسع	aː l iː s ʔ
امارت	aː m aː r t̪
امام	aː m aː m
امانت	aː m aː n t̪
امتحان	aː m t̪ h aː n
امداد	aː m d̪ aː d̪
امر	aː m r
امرا	aː m r aː
امرتسر	aː m r t̪ s r
امرود	aː m r oː d̪
امروز	aː m r oː z
امریکا	aː m r iː k aː
امریکہ	aː m r iː k h
امل	aː m l
املا	aː m l aː
امن	aː m n
امور	aː m oː r
امکان	aː m k aː n
امی	aː m iː
امید	aː m iː d̪
امید	aː m iː d̪
امیدوار	aː m iː d̪ oː aː r
امیدوار	aː m iː d̪ oː aː r
امیر	aː m iː r
امینہ	aː m iː n h
اناتھ	aː n aː t̪ʰ
انار	aː n aː r
انارکلی	aː n aː r k l iː
انبار	aː n b aː r
انبیاء	aː n b iː aː ʔ
انت	aː n t̪
انتباہ	aː n t̪ b aː h
انتخاب	aː n t̪ x aː b
انتخاب	aː n t̪ x aː b
انتر	aː n t̪ r
انترم	aː n t̪ r m
انتظار	aː n t̪ zˤ aː r
انتظار	aː n t̪ zˤ aː r
انتظار	aː n t̪ zˤ aː r
انتظام	aː n t̪ zˤ aː m
انتظامی	aː n t̪ zˤ aː m iː
انتظامیہ	aː n t̪ zˤ aː m iː h
انتقال	aː n t̪ q aː l
انتم	aː n t̪ m
انتہائی	aː n t̪ h aː iː iː
انتہاپسند	aː n t̪ h aː p s n d̪
انجام	aː n d͡ʒ aː m
انجانا	aː n d͡ʒ aː n aː
انجیر	aː n d͡ʒ iː r
انداز	aː n d̪ aː z
اندراج	aː n d̪ r aː d͡ʒ
اندلس	aː n d̪ l s
اندھا	aː n d̪ʰ aː
اندھکار	aː n d̪ʰ k aː r
اندھیرا	aː n d̪ʰ iː r aː
اندیکھا	aː n d̪ iː kʰ aː
انسان	aː n s aː n
انسانی	aː n s aː n iː
انش	aː n ʃ
انصاف	aː n sˤ aː f
انطاکیہ	aː n tˤ aː k iː h
انطلیاس	aː n tˤ l iː aː s
انعام	aː n ʔ aː m
انقلاب	aː n q l aː b
انقلاب	aː n q l aː b
انوادک	aː n oː aː d̪ k
انوکھا	aː n oː kʰ aː
انٹارکٹکا	aː n ʈ aː r k ʈ k aː
انپم	aː n p m
انچل	aː n t͡ʃ l
انڈا	aː n ɖ aː
انڈونیشیا	aː n ɖ oː n iː ʃ iː aː
انڈکوش	aː n ɖ k oː ʃ
انڈیا	aː n ɖ iː aː
انکار	aː n k aː r
انکل	aː n k l
انگریز	aː n g r iː z
انگریزی	aː n g r iː z iː
انگلستان	aː n g l s t̪ aː n
انگلی	aː n g l iː
انگلینڈ	aː n g l iː n ɖ
انگور	aː n g oː r
انگوری	aː n g oː r iː
انگولہ	aː n g oː l h
انگوٹھا	aː n g oː ʈʰ aː
انگوٹھی	aː n g oː ʈʰ iː
انگھیٹی	aː n gʰ iː ʈ iː
انھیں	aː n h iː n
انھیں	aː n h iː n
انہ	aː n h
انہیں	aː n h iː n
انہیں	aː n h iː n
انیک	aː n iː k
اوتھل	aː oː t̪ʰ l
اودا	aː oː d̪ aː
اودبلاؤ	aː oː d̪ b l aː oː
اودھی	aː oː d̪ʰ iː
اور	aː oː r
اورماڑا	aː oː r m aː ɽ aː
اورنگ	aː oː r n g
اورنگزیب	aː oː r n g z iː b
اوس	aː oː s
اوساکا	aː oː s aː k aː
اوسطا	aː oː s tˤ aː
اوقات	aː oː q aː t̪
اول	aː oː l
اولا	aː oː l aː
اولاد	aː oː l aː d̪
اولو	aː oː l oː
اولی	aː oː l iː
اولی	aː oː l iː
اولی	aː oː l iː
اونٹ	aː oː n ʈ
اونچائی	aː oː n t͡ʃ aː iː iː
اونگھ	aː oː n gʰ
اوپر	aː oː p r
اوڈیشہ	aː oː ɖ iː ʃ h
اوڑی	aː oː ɽ iː
اوکاش	aː oː k aː ʃ
اوکاڑہ	aː oː k aː ɽ h
اوکھی	aː oː kʰ iː
اوہ	aː oː h
اویغور	aː oː iː ɣ oː r
اویغورستان	aː oː iː ɣ oː r s t̪ aː n
اٹاری	aː ʈ aː r iː
اٹاچی	aː ʈ aː t͡ʃ iː
اٹاچی	aː ʈ aː t͡ʃ iː
اٹک	aː ʈ k
اٹھانا	aː ʈʰ aː n aː
اپاسک	aː p aː s k
اپاہج	aː p aː h d͡ʒ
اپبھوگ	aː p bʰ oː g
اپدهان	aː p d̪ ? aː n
اپدیش	aː p d̪ iː ʃ
اپرادھ	aː p r aː d̪ʰ
اپرادھی	aː p r aː d̪ʰ iː
اپرمپار	aː p r m p aː r
اپریل	aː p r iː l
اپستھت	aː p s t̪ʰ t̪
اپلبدھ	aː p l b d̪ʰ
اپنا	aː p n aː
اپنيتر	aː p n iː t̪ r
اپہار	aː p h aː r
اپیوگ	aː p iː oː g
اچار	aː t͡ʃ aː r
اچانک	aː t͡ʃ aː n k
اچت	aː t͡ʃ t̪
اچکیریہ	aː t͡ʃ k iː r iː h
اچکیریہ	aː t͡ʃ k iː r iː h
اچھا	aː t͡ʃʰ aː
اچھا	aː t͡ʃʰ aː
اچھلنا	aː t͡ʃʰ l n aː
اڑان	aː ɽ aː n
اڑانا	aː ɽ aː n aː
اڑنا	aː ɽ n aː
اڑنا	aː ɽ n aː
اژدہا	aː ʒ d̪ h aː
اک	aː k
اکادمک	aː k aː d̪ m k
اکادمی	aː k aː d̪ m iː
اکال	aː k aː l
اکانوے	aː k aː n oː eː
اکتوبر	aː k t̪ oː b r
اکثر	aː k s r
اکلوتا	aː k l oː t̪ aː
اکنون	aː k n oː n
اکھروٹ	aː kʰ r oː ʈ
اکیلا	aː k iː l aː
اکیلاپن	aː k iː l aː p n
اکیلے	aː k iː l eː
اگر	aː g r
اگربتی	aː g r b t̪ iː
اگرچہ	aː g r t͡ʃ h
اگست	aː g s t̪
اگلا	aː g l aː
اگنا	aː g n aː
اگنی	aː g n iː
ایالت	aː iː aː l t̪
ایت	aː iː t̪
ایتھنز	aː iː t̪ʰ n z
ایتھنز	aː iː t̪ʰ n z
ایتھوپیا	aː iː t̪ʰ oː p iː aː
ایجنٹ	aː iː d͡ʒ n ʈ
ایران	aː iː r aː n
ایرانی	aː iː r aː n iː
ایزد	aː iː z d̪
ایزد	aː iː z d̪
ایزد	aː iː z d̪
ایزد	aː iː z d̪
ایشور	aː iː ʃ oː r
ایلچی	aː iː l t͡ʃ iː
ایمان	aː iː m aː n
ایماندار	aː iː m aː n d̪ aː r
اینٹ	aː iː n ʈ
ایواللہ	aː iː oː aː l l h
ایوان	aː iː oː aː n
ایوب	aː iː oː b
ایڈنبرا	aː iː ɖ n b r aː
ایڈنبرا	aː iː ɖ n b r aː
ایڈنبرا	aː iː ɖ n b r aː
ایک	aː iː k
ب	b
ب	b
بائبل	b aː iː b l
بائیسکل	b aː iː iː s k l
بابو	b aː b oː
بات	b aː t̪
باتھروم	b aː t̪ʰ r oː m
باجی	b aː d͡ʒ iː
باختر	b aː x t̪ r
باد	b aː d̪
بادام	b aː d̪ aː m
بادام	b aː d̪ aː m
بادامی	b aː d̪ aː m iː
بادشاہ	b aː d̪ ʃ aː h
بادشاہت	b aː d̪ ʃ aː h t̪
بادل	b aː d̪ l
بار	b aː r
بارات	b aː r aː t̪
باراں	b aː r aː n
بارش	b aː r ʃ
بارکھان	b aː r kʰ aː n
بارہا	b aː r h aː
باریک	b aː r iː k
بازار	b aː z aː r
بازار	b aː z aː r
بازو	b aː z oː
بازی	b aː z iː
باشندہ	b aː ʃ n d̪ h
باعث	b aː ʔ s
باغ	b aː ɣ
باغی	b aː ɣ iː
باغیچہ	b aː ɣ iː t͡ʃ h
باقی	b aː q iː
بال	b aː l
بالش	b aː l ʃ
بالفعل	b aː l f ʔ l
بالکل	b aː l k l
باندھنا	b aː n d̪ʰ n aː
بانس	b aː n s
بانسو	b aː n s oː
بانسوں	b aː n s oː n
بانو	b aː n oː
بانو	b aː n oː
بانچنا	b aː n t͡ʃ n aː
بانہو	b aː n h oː
بانہوں	b aː n h oː n
بانہہ	b aː n h h
بانہیں	b aː n h iː n
باورچی	b aː oː r t͡ʃ iː
باٹ	b aː ʈ
باڑھ	b aː ɽ h
باکو	b aː k oː
باہر	b aː h r
باہر	b aː h r
باہم	b aː h m
باہمی	b aː h m iː
باہوبلی	b aː h oː b l iː
ببھکشا	b bʰ k ʃ aː
بت	b t̪
بتانا	b t̪ aː n aː
بتانا	b t̪ aː n aː
بجائے	b d͡ʒ aː iː eː
بجری	b d͡ʒ r iː
بجلی	b d͡ʒ l iː
بجے	b d͡ʒ eː
بحال	b h aː l
بحر	b h r
بحران	b h r aː n
بحرین	b h r iː n
بحریہ	b h r iː h
بخش	b x ʃ
بدبو	b d̪ b oː
بدبو	b d̪ b oː
بددعا	b d̪ d̪ ʔ aː
بدر	b d̪ r
بدصورت	b d̪ sˤ oː r t̪
بدعنوانی	b d̪ ʔ n oː aː n iː
بدلنا	b d̪ l n aː
بدلوانا	b d̪ l oː aː n aː
بدلہ	b d̪ l h
بدن	b d̪ n
بدنصیب	b d̪ n sˤ iː b
بدنیت	b d̪ n iː t̪
بدولت	b d̪ oː l t̪
بدھ	b d̪ʰ
بدھرتا	b d̪ʰ r t̪ aː
بدھوار	b d̪ʰ oː aː r
بدھیا	b d̪ʰ iː aː
بدیع	b d̪ iː ʔ
بدیع	b d̪ iː ʔ
بدین	b d̪ iː n
برآمد	b r aː m d̪
برا	b r aː
برات	b r aː t̪
برازیل	b r aː z iː l
برباد	b r b aː d̪
برتن	b r t̪ n
برج	b r d͡ʒ
برس	b r s
برسات	b r s aː t̪
برسلز	b r s l z
برسی	b r s iː
برصغیر	b r sˤ ɣ iː r
برف	b r f
برق	b r q
برقع	b r q ʔ
برقی	b r q iː
برلن	b r l n
برما	b r m aː
برمنگھم	b r m n gʰ m
بروخے	b r oː x eː
برودت	b r oː d̪ t̪
برچھا	b r t͡ʃʰ aː
برچھیت	b r t͡ʃʰ iː t̪
برکت	b r k t̪
برکها	b r k ? aː
برگزیدہ	b r g z iː d̪ h
برہنہ	b r h n h
برہنہ	b r h n h
بریشال	b r iː ʃ aː l
بزار	b z aː r
بزرگ	b z r g
بزرگی	b z r g iː
بس	b s
بستر	b s t̪ r
بستی	b s t̪ iː
بسکٹ	b s k ʈ
بسیار	b s iː aː r
بشیر	b ʃ iː r
بطخ	b tˤ x
بظاہر	b zˤ aː h r
بعث	b ʔ s
بعد	b ʔ d̪
بعلبک	b ʔ l b k
بغاوت	b ɣ aː oː t̪
بغل	b ɣ l
بغیر	b ɣ iː r
بغیچہ	b ɣ iː t͡ʃ h
بقار	b q aː r
بقر	b q r
بقرعید	b q r ʔ iː d̪
بقرعید	b q r ʔ iː d̪
بقرہ	b q r h
بلا	b l aː
بلا	b l aː
بلا	b l aː
بلا	b l aː
بلب	b l b
بلغاری	b l ɣ aː r iː
بلغاریہ	b l ɣ aː r iː h
بلغم	b l ɣ m
بلند	b l n d̪
بلوغت	b l oː ɣ t̪
بلوچستان	b l oː t͡ʃ s t̪ aː n
بلکہ	b l k h
بلہار	b l h aː r
بلی	b l iː
بلیدہ	b l iː d̪ h
بم	b m
بمباری	b m b aː r iː
بمبہ	b m b h
بمقابلہ	b m q aː b l h
بمقابلہ	b m q aː b l h
بمقابلہ	b m q aː b l h
بنا	b n aː
بنا	b n aː
بنارس	b n aː r s
بنانا	b n aː n aː
بناوٹ	b n aː oː ʈ
بناوٹی	b n aː oː ʈ iː
بنت	b n t̪
بنتی	b n t̪ iː
بنجارا	b n d͡ʒ aː r aː
بنجی	b n d͡ʒ iː
بند	b n d̪
بندر	b n d̪ r
بندوق	b n d̪ oː q
بندوق	b n d̪ oː q
بندھن	b n d̪ʰ n
بندہ	b n d̪ h
بنزین	b n z iː n
بنفشی	b n f ʃ iː
بنيان	b n iː aː n
بنگ	b n g
بنگال	b n g aː l
بنگالی	b n g aː l iː
بنیادی	b n iː aː d̪ iː
بو	b oː
بو	b oː
بواب	b oː aː b
بوتل	b oː t̪ l
بوجھ	b oː d͡ʒʰ
بودار	b oː d̪ aː r
بور	b oː r
بوریت	b oː r iː t̪
بوسنیا	b oː s n iː aː
بوسہ	b oː s h
بولنا	b oː l n aː
بولی	b oː l iː
بوم	b oː m
بونا	b oː n aː
بونا	b oː n aː
بونڈر	b oː n ɖ r
بوٹ	b oː ʈ
بوچڑ	b oː t͡ʃ ɽ
بوڑھا	b oː ɽ h aː
بٹن	b ʈ n
بٹوا	b ʈ oː aː
بٹوا	b ʈ oː aː
بٹورنا	b ʈ oː r n aː
بٹھانا	b ʈʰ aː n aː
بپتسمہ	b p t̪ s m h
بچپن	b t͡ʃ p n
بچھو	b t͡ʃʰ oː
بچہ	b t͡ʃ h
بچی	b t͡ʃ iː
بڑا	b ɽ aː
بڑھاپا	b ɽ h aː p aː
بڑھنا	b ɽ h n aː
بکاؤ	b k aː oː
بکاؤ	b k aː oː
بکرا	b k r aː
بکری	b k r iː
بکس	b k s
