ء	ʔ
آ	ʔ aː
آبد	ʔ aː b d
آبلة	ʔ aː b l a
آبيس	ʔ aː b i s
آتشيوت	ʔ aː t ʃ i w t
آتشيوت	ʔ aː t ʃ i w t
آتون	ʔ aː t u n
آثار	ʔ aː θ aː r
آثام	ʔ aː θ aː m
آح	ʔ aː ħ
آخر	ʔ aː x r
آخر	ʔ aː x r
آخرة	ʔ aː x r a
آخرة	ʔ aː x r a
آخن	ʔ aː x n
آدب	ʔ aː d b
آدم	ʔ aː d m
آدمي	ʔ aː d m iː
آذان	ʔ aː ð aː n
آذريون	ʔ aː ð r i w n
آذى	ʔ aː ð aː
آس	ʔ aː s
آسف	ʔ aː s f
آسف	ʔ aː s f
آسفي	ʔ aː s f iː
آسيوي	ʔ aː s i w iː
آش	ʔ aː ʃ
آشوري	ʔ aː ʃ u r iː
آصف	ʔ aː sˤ f
آصف	ʔ aː sˤ f
آفات	ʔ aː f aː t
آفة	ʔ aː f a
آفرین	ʔ aː f r n
آل	ʔ aː l
آل	ʔ aː l
آل	ʔ aː l
آلات	ʔ aː l aː t
آلاف	ʔ aː l aː f
آلة	ʔ aː l a
آلف	ʔ aː l f
آلي	ʔ aː l iː
آلية	ʔ aː l i a
آمال	ʔ aː m aː l
آمن	ʔ aː m n
آمن	ʔ aː m n
آمن	ʔ aː m n
آمن	ʔ aː m n
آمن	ʔ aː m n
آمن	ʔ aː m n
آمن	ʔ aː m n
آمنة	ʔ aː m n a
آمون	ʔ aː m u n
آمين	ʔ aː m i n
آنسة	ʔ aː n s a
آنك	ʔ aː n k
آنى	ʔ aː n aː
آني	ʔ aː n iː
آية	ʔ aː j a
آيسلندا	ʔ aː j s l n d aː
آيوا	ʔ aː j w aː
أ	ʔ a
أ	ʔ a
أ	ʔ a
أب	ʔ a b
أباجور	ʔ a b aː dʒ u r
أباح	ʔ a b aː ħ
أباخس	ʔ a b aː x s
أباد	ʔ a b aː d
أباريق	ʔ a b aː r i q
أباس	ʔ a b aː s
أباسخيرون	ʔ a b aː s x i r u n
أبان	ʔ a b aː n
أبتر	ʔ a b t r
أبث	ʔ a b θ
أبخازيا	ʔ a b x aː z i aː
أبخق	ʔ a b x q
أبد	ʔ a b d
أبد	ʔ a b d
أبد	ʔ a b d
أبد	ʔ a b d
أبدا	ʔ a b d aː
أبدة	ʔ a b d a
أبدى	ʔ a b d aː
أبدي	ʔ a b d iː
أبدي	ʔ a b d iː
أبدية	ʔ a b d i a
أبذة	ʔ a b ð a
أبر	ʔ a b r
أبر	ʔ a b r
أبرز	ʔ a b r z
أبرز	ʔ a b r z
أبرز	ʔ a b r z
أبرز	ʔ a b r z
أبرم	ʔ a b r m
أبريل	ʔ a b r i l
أبسطة	ʔ a b s tˤ a
أبش	ʔ a b ʃ
أبش	ʔ a b ʃ
أبطل	ʔ a b tˤ l
أبكم	ʔ a b k m
أبلس	ʔ a b l s
أبلق	ʔ a b l q
أبله	ʔ a b l h
أبنوس	ʔ a b n u s
أبنوس	ʔ a b n u s
أبها	ʔ a b h aː
أبهة	ʔ a b h a
أبهج	ʔ a b h dʒ
أبوان	ʔ a b u aː n
أبوة	ʔ a b u a
أبوت	ʔ a b u t
أبود	ʔ a b u d
أبيدجان	ʔ a b i d dʒ aː n
أبيض	ʔ a b i dˤ
أتاح	ʔ a t aː ħ
أترج	ʔ a t r dʒ
أتقن	ʔ a t q n
أتلف	ʔ a t l f
أتمت	ʔ a t m t
أتوبوس	ʔ a t u b u s
أتوبيس	ʔ a t u b i s
أتوم	ʔ a t u m
أتون	ʔ a t u n
أتى	ʔ a t aː
أثاث	ʔ a θ aː θ
أثث	ʔ a θ θ
أثجل	ʔ a θ dʒ l
أثرة	ʔ a θ r a
أثرة	ʔ a θ r a
أثرة	ʔ a θ r a
أثقال	ʔ a θ q aː l
أثل	ʔ a θ l
أثل	ʔ a θ l
أثل	ʔ a θ l
أثل	ʔ a θ l
أثلج	ʔ a θ l dʒ
أثم	ʔ a θ m
أثناء	ʔ a θ n aː ʔ
أثناء	ʔ a θ n aː ʔ
أثنى	ʔ a θ n aː
أثيم	ʔ a θ i m
أثينا	ʔ a θ i n aː
أثيوبيا	ʔ a θ i w b i aː
أثيوبيا	ʔ a θ i w b i aː
أثيوبيا	ʔ a θ i w b i aː
أثيوبيا	ʔ a θ i w b i aː
أثيوبيا	ʔ a θ i w b i aː
أجاب	ʔ a dʒ aː b
أجاب	ʔ a dʒ aː b
أجار	ʔ a dʒ aː r
أجدب	ʔ a dʒ d b
أجدع	ʔ a dʒ d ʕ
أجذاع	ʔ a dʒ ð aː ʕ
أجرب	ʔ a dʒ r b
أجرد	ʔ a dʒ r d
أجزاء	ʔ a dʒ z aː ʔ
أجش	ʔ a dʒ ʃ
أجل	ʔ a dʒ l
أجل	ʔ a dʒ l
أجل	ʔ a dʒ l
أجل	ʔ a dʒ l
أجلح	ʔ a dʒ l ħ
أجلى	ʔ a dʒ l aː
أجمة	ʔ a dʒ m a
أجمع	ʔ a dʒ m ʕ
أجمع	ʔ a dʒ m ʕ
أجمعون	ʔ a dʒ m ʕ u n
أجمعين	ʔ a dʒ m ʕ i n
أجنبي	ʔ a dʒ n b iː
أجنبيات	ʔ a dʒ n b i aː t
أجندة	ʔ a dʒ n d a
أجهد	ʔ a dʒ h d
أجهض	ʔ a dʒ h dˤ
أجوف	ʔ a dʒ u f
أجيال	ʔ a dʒ i aː l
أجير	ʔ a dʒ i r
أجير	ʔ a dʒ i r
أجير	ʔ a dʒ i r
أحادي	ʔ a ħ aː d iː
أحاسيس	ʔ a ħ aː s i s
أحاط	ʔ a ħ aː tˤ
أحاط	ʔ a ħ aː tˤ
أحاط	ʔ a ħ aː tˤ
أحب	ʔ a ħ b
أحب	ʔ a ħ b
أحبك	ʔ a ħ b k
أحبك	ʔ a ħ b k
أحجم	ʔ a ħ dʒ m
أحجية	ʔ a ħ dʒ i a
أحجية	ʔ a ħ dʒ i a
أحد	ʔ a ħ d
أحد	ʔ a ħ d
أحرج	ʔ a ħ r dʒ
أحرش	ʔ a ħ r ʃ
أحسن	ʔ a ħ s n
أحسن	ʔ a ħ s n
أحسن	ʔ a ħ s n
أحسن	ʔ a ħ s n
أحسن	ʔ a ħ s n
أحسن	ʔ a ħ s n
أحسن	ʔ a ħ s n
أحسن	ʔ a ħ s n
أحسن	ʔ a ħ s n
أحسن	ʔ a ħ s n
أحسن	ʔ a ħ s n
أحصن	ʔ a ħ sˤ n
أحصى	ʔ a ħ sˤ aː
أحمر	ʔ a ħ m r
أحمق	ʔ a ħ m q
أحنك	ʔ a ħ n k
أحوج	ʔ a ħ u dʒ
أحور	ʔ a ħ u r
أحول	ʔ a ħ u l
أحيلى	ʔ a ħ i l aː
أخ	ʔ a x
أخاديد	ʔ a x aː d i d
أخاذ	ʔ a x aː ð
أخامص	ʔ a x aː m sˤ
أخبر	ʔ a x b r
أخت	ʔ a x t
أخثاث	ʔ a x θ aː θ
أخدر	ʔ a x d r
أخدر	ʔ a x d r
أخدود	ʔ a x d u d
أخذ	ʔ a x ð
أخذ	ʔ a x ð
أخذ	ʔ a x ð
أخرس	ʔ a x r s
أخرس	ʔ a x r s
أخرى	ʔ a x r aː
أخشن	ʔ a x ʃ n
أخصائي	ʔ a x sˤ aː ʔ i iː
أخصر	ʔ a x sˤ r
أخضر	ʔ a x dˤ r
أخطأ	ʔ a x tˤ ʔ a
أخطبوط	ʔ a x tˤ b u tˤ
أخطبوط	ʔ a x tˤ b u tˤ
أخلاط	ʔ a x l aː tˤ
أخلاق	ʔ a x l aː q
أخلاقي	ʔ a x l aː q iː
أخلاقية	ʔ a x l aː q i a
أخمص	ʔ a x m sˤ
أخوة	ʔ a x u a
أخوية	ʔ a x u j a
أخياط	ʔ a x i aː tˤ
أخيرى	ʔ a x i r aː
أداة	ʔ a d aː a
أدار	ʔ a d aː r
أداف	ʔ a d aː f
أدان	ʔ a d aː n
