ء	ʔ
ء	ʔ
ء	ʔ
ء	ʔ
ء	ʔ
آئرلینڈ	ɑː ʔ r l iː n ɖ
آئی	ɑː ʔ iː
آئین	ɑː ʔ iː n
آئینہ	ɑː ʔ iː n h
آب	ɑː b
آباد	ɑː b a d
آبادانی	ɑː b a d a n iː
آبادی	ɑː b a d iː
آبدوز	ɑː b d uː z
آبشار	ɑː b ʃ a r
آبنائے	ɑː b n a ʔ eː
آبچین	ɑː b tʃ iː n
آبی	ɑː b iː
آتش	ɑː t ʃ
آتما	ɑː t m a
آتنکوادی	ɑː t n k uː a d iː
آج	ɑː dʒ
آخرت	ɑː x r t
آخری	ɑː x r iː
آخن	ɑː x n
آخور	ɑː x uː r
آداب	ɑː d a b
آدر	ɑː d r
آدم	ɑː d m
آدمی	ɑː d m iː
آدھا	ɑː d ʰ a
آدھنک	ɑː d ʰ n k
آذر	ɑː z r
آذربائیجان	ɑː z r b a ʔ iː dʒ a n
آرام	ɑː r a m
آربل	ɑː r b l
آرزو	ɑː r z uː
آرمبھ	ɑː r m b ʰ
آرمی	ɑː r m iː
آرمینیا	ɑː r m iː n iː a
آرمینیا	ɑː r m iː n iː a
آروپ	ɑː r uː p
آروگیہ	ɑː r uː ɡ iː h
آریامن	ɑː r iː a m n
آریہ	ɑː r iː h
آرے	ɑː r eː
آزاد	ɑː z a d
آزادی	ɑː z a d iː
آزمائش	ɑː z m a ʔ ʃ
آزمانا	ɑː z m a n a
آزمودگی	ɑː z m uː d ɡ iː
آزمودہ	ɑː z m uː d h
آس	ɑː s
آسام	ɑː s a m
آسامی	ɑː s a m iː
آسان	ɑː s a n
آسان	ɑː s a n
آسانی	ɑː s a n iː
آستھا	ɑː s t ʰ a
آستین	ɑː s t iː n
آسرا	ɑː s r a
آسمان	ɑː s m a n
آسمانی	ɑː s m a n iː
آسن	ɑː s n
آسند	ɑː s n d
آسٹریا	ɑː s ʈ r iː a
آسٹریلیا	ɑː s ʈ r iː l iː a
آسکت	ɑː s k t
آسکول	ɑː s k uː l
آسیب	ɑː s iː b
آشچریہ	ɑː ʃ tʃ r iː h
آشیرواد	ɑː ʃ iː r uː a d
آغا	ɑː ɣ a
آغاز	ɑː ɣ a z
آغوش	ɑː ɣ uː ʃ
آفت	ɑː f t
آفتاب	ɑː f t a b
آفتابی	ɑː f t a b iː
آفریدی	ɑː f r iː d iː
آفرین	ɑː f r iː n
آقا	ɑː q a
آقچہ	ɑː q tʃ h
آلس	ɑː l s
آلسی	ɑː l s iː
آلنگن	ɑː l n ɡ n
آلو	ɑː l uː
آلود	ɑː l uː d
آلودگی	ɑː l uː d ɡ iː
آلودہ	ɑː l uː d h
آلوچنا	ɑː l uː tʃ n a
آلچی	ɑː l tʃ iː
آلہ	ɑː l h
آم	ɑː m
آمر	ɑː m r
آمریت	ɑː m r iː t
آمنہ	ɑː m n h
آموختہ	ɑː m uː x t h
آمود	ɑː m uː d
آموزش	ɑː m uː z ʃ
آمیزش	ɑː m iː z ʃ
آنا	ɑː n a
آندھی	ɑː n d ʰ iː
آنسو	ɑː n s uː
آنسو	ɑː n s uː
آنکھ	ɑː n k ʰ
آنکھ	ɑː n k ʰ
آنکھو	ɑː n k ʰ uː
آنکھوں	ɑː n k ʰ uː ŋ
آنکھیں	ɑː n k ʰ iː ŋ
آنگن	ɑː n ɡ n
آواران	ɑː ʋ a r a n
آوارہ	ɑː ʋ a r h
آواز	ɑː ʋ a z
آوشيکتا	ɑː ʋ ʃ k t a
آٹا	ɑː ʈ a
آٹھ	ɑː ʈ ʰ
آٹھواں	ɑː ʈ ʰ uː a ŋ
آٹھواں	ɑː ʈ ʰ uː a ŋ
آپ	ɑː p
آپا	ɑː p a
آپی	ɑː p iː
آچار	ɑː tʃ a r
آڑو	ɑː ɽ uː
آکاش	ɑː k a ʃ
آکاشی	ɑː k a ʃ iː
آکرشت	ɑː k r ʃ t
آکرمن	ɑː k r m n
آکھیٹ	ɑː k ʰ iː ʈ
آگ	ɑː ɡ
آگار	ɑː ɡ a r
آگرہ	ɑː ɡ r h
آگھات	ɑː ɡ ʰ a t
آگے	ɑː ɡ eː
آہ	ɑː h
آہستہ	ɑː h s t h
آہو	ɑː h uː
آیا	ɑː j a
آیت	ɑː j t
ا	a
ا	a
ا	a
ا	a
ابابیل	a b a b iː l
اباضی	a b a z iː
ابال	a b a l
ابالنا	a b a l n a
ابتدا	a b t d a
ابتدائی	a b t d a ʔ iː
ابتسام	a b t s a m
ابدا	a b d a
ابراہیم	a b r a h iː m
ابرق	a b r q
ابرنجن	a b r n dʒ n
ابرنجین	a b r n dʒ iː n
ابریق	a b r iː q
ابلق	a b l q
ابلنا	a b l n a
ابلیس	a b l iː s
ابلیسیانہ	a b l iː s iː a n h
ابن	a b n
ابنہ	a b n h
ابو	a b uː
ابٹن	a b ʈ n
ابکائی	a b k a ʔ iː
ابھار	a b ʰ a r
ابھاو	a b ʰ a ʋ
ابھرتا	a b ʰ r t a
ابھشیک	a b ʰ ʃ iː k
ابھمان	a b ʰ m a n
ابھی	a b ʰ iː
ابھی	a b ʰ iː
ابہام	a b h a m
اتارنا	a t a r n a
اتاق	a t a q
اتالیق	a t a l iː q
اتحاد	a t h a d
اتحاد	a t h a d
اتحادی	a t h a d iː
اترنا	a t r n a
اتصال	a t s a l
اتفاق	a t f a q
اتفاقا	a t f a q a
اتم	a t m
اتمام	a t m a m
اتمک	a t m k
اتوار	a t uː a r
اتھان	a t ʰ a n
اتہاس	a t h a s
اتہام	a t h a m
اتیاچاری	a t iː a tʃ a r iː
اثاث	a s a s
اثبات	a s b a t
اثر	a s r
اثنا	a s n a
اجازت	a dʒ a z t
اجالا	a dʒ a l a
اجالنا	a dʒ a l n a
اجتماع	a dʒ t m a ʔ
اجر	a dʒ r
اجرا	a dʒ r a
اجرت	a dʒ r t
اجزا	a dʒ z a
اجل	a dʒ l
اجلاس	a dʒ l a s
اجمالی	a dʒ m a l iː
اجنبی	a dʒ n b iː
اجوائن	a dʒ uː a ʔ n
اجگر	a dʒ ɡ r
اجی	a dʒ iː
احباب	a h b a b
احتجاج	a h t dʒ a dʒ
احترام	a h t r a m
احترام	a h t r a m
احتمال	a h t m a l
احتیاج	a h t iː a dʒ
احساس	a h s a s
احسان	a h s a n
احشا	a h ʃ a
احمد	a h m d
احمق	a h m q
احوال	a h uː a l
احیا	a h iː a
احیا	a h iː a
اخاہ	a x a h
اخبار	a x b a r
اختلاف	a x t l a f
اختہ	a x t h
اختیار	a x t iː a r
اختیاری	a x t iː a r iː
اخذ	a x z
اخروٹ	a x r uː ʈ
اخلاط	a x l a t
اخلاق	a x l a q
اخلاق	a x l a q
ادا	a d a
ادائیگی	a d a ʔ iː ɡ iː
ادارتی	a d a r t iː
ادارہ	a d a r h
اداری	a d a r iː
اداس	a d a s
اداسی	a d a s iː
اداہرن	a d a h r n
ادب	a d b
ادبا	a d b a
ادبی	a d b iː
ادبیات	a d b iː a t
ادرنہ	a d r n h
ادرک	a d r k
ادریس	a d r iː s
اديان	a d a n
ادھار	a d ʰ a r
ادھلنا	a d ʰ l n a
ادھماس	a d ʰ m a s
ادھورا	a d ʰ uː r a
ادھکار	a d ʰ k a r
ادھکاری	a d ʰ k a r iː
ادھیڑ	a d ʰ iː ɽ
ادہم	a d h m
ادیب	a d iː b
ادیہ	a d iː h
اذن	a z n
اذیت	a z iː t
ارب	a r b
ارتعاش	a r t ʔ a ʃ
ارتھ	a r t ʰ
ارجت	a r dʒ t
ارجن	a r dʒ n
ارجن	a r dʒ n
ارجنٹائن	a r dʒ n ʈ a ʔ n
اردلی	a r d l iː
اردن	a r d n
اردو	a r d uː
ارز	a r z
ارسطو	a r s t uː
ارش	a r ʃ
ارض	a r z
ارغوانی	a r ɣ uː a n iː
ارمان	a r m a n
ارمنستان	a r m n s t a n
ارمیا	a r m iː a
ارے	a r eː
از	a z
ازبک	a z b k
ازبکستان	a z b k s t a n
ازدواج	a z d uː a dʒ
اساس	a s a s
اساس	a s a s
اساسی	a s a s iː
اسباب	a s b a b
استاد	a s t a d
استبداد	a s t b d a d
استخلاف	a s t x l a f
استخوان	a s t x uː a n
استر	a s t r
استری	a s t r iː
استری	a s t r iː
استری	a s t r iː
استعفی	a s t ʔ f iː
استعمال	a s t ʔ m a l
استقبال	a s t q b a l
استنبول	a s t n b uː l
استوار	a s t uː a r
استوار	a s t uː a r
استور	a s t uː r
استھ	a s t ʰ
اسحاق	a s h a q
اسرائیل	a s r a ʔ iː l
اسراف	a s r a f
اسلام	a s l a m
اسلامی	a s l a m iː
اسلحہ	a s l h h
اسلحہ	a s l h h
اسلوب	a s l uː b
اسم	a s m
اسم	a s m
اسماعیل	a s m a ʔ iː l
اسٹیشن	a s ʈ iː ʃ n
اسٹیڈیم	a s ʈ iː ɖ iː m
اسپ	a s p
اسپات	a s p a t
اسپتال	a s p t a l
اسپغول	a s p ɣ uː l
اسکول	a s k uː l
اسہال	a s h a l
اسیر	a s iː r
اسیری	a s iː r iː
اشارہ	a ʃ a r h
اشاعت	a ʃ a ʔ t
اشاعت	a ʃ a ʔ t
اشبھ	a ʃ b ʰ
اشبیلیہ	a ʃ b iː l iː h
اشتباہا	a ʃ t b a h a
اشتراک	a ʃ t r a k
اشتراکیت	a ʃ t r a k iː t
اشتقاق	a ʃ t q a q
اشتہا	a ʃ t h a
اشتہار	a ʃ t h a r
اشراق	a ʃ r a q
اشوک	a ʃ uː k
اشک	a ʃ k
اصطبل	a s t b l
اصطلاح	a s t l a h
اصغر	a s ɣ r
اصل	a s l
اصلاح	a s l a h
اصول	a s uː l
اصہار	a s h a r
اصیل	a s iː l
اضافہ	a z a f h
اضطراری	a z t r a r iː
اطالیہ	a t a l iː h
اطفال	a t f a l
اطلاع	a t l a ʔ
اطلاقی	a t l a q iː
اطلس	a t l s
اطمینان	a t m iː n a n
اعتبار	a ʔ t b a r
اعتراف	a ʔ t r a f
اعتماد	a ʔ t m a d
اعضا	a ʔ z a
اعضا	a ʔ z a
اعظم	a ʔ z m
اعلی	a ʔ l iː
اغوا	a ɣ uː a
اغوا	a ɣ uː a
افراد	a f r a d
افریقہ	a f r iː q h
افزائش	a f z a ʔ ʃ
افسانہ	a f s a n h
افطار	a f t a r
افطاری	a f t a r iː
افغان	a f ɣ a n
افغانستان	a f ɣ a n s t a n
افق	a f q
افلاس	a f l a s
اقامت	a q a m t
اقتدار	a q t d a r
اقتصادی	a q t s a d iː
اقلیت	a q l iː t
اقلیت	a q l iː t
اقلیم	a q l iː m
الائچی	a l a ʔ tʃ iː
البانیا	a l b a n iː a
البتہ	a l b t h
الجزائر	a l dʒ z a ʔ r
الحاق	a l h a q
الزام	a l z a m
اللہ	a l l h
اللہ	a l l h
الم	a l m
الماری	a l m a r iː
الماس	a l m a s
النکار	a l n k a r
النکرت	a l n k r t
الوداع	a l uː d a ʔ
الوداع	a l uː d a ʔ
الٹی	a l ʈ iː
الکحل	a l k h l
الگ	a l ɡ
الہام	a l h a m
الیاس	a l iː a s
الیسع	a l iː s ʔ
امارت	a m a r t
امام	a m a m
امانت	a m a n t
امتحان	a m t h a n
امداد	a m d a d
امر	a m r
امرا	a m r a
امرتسر	a m r t s r
امرود	a m r uː d
امروز	a m r uː z
امریکا	a m r iː k a
امریکہ	a m r iː k h
امل	a m l
املا	a m l a
امن	a m n
امور	a m uː r
امکان	a m k a n
امی	a m iː
امید	a m iː d
امید	a m iː d
امیدوار	a m iː d uː a r
امیدوار	a m iː d uː a r
امیر	a m iː r
امینہ	a m iː n h
اناتھ	a n a t ʰ
انار	a n a r
انارکلی	a n a r k l iː
انبار	a n b a r
انبیاء	a n b iː a ʔ
انت	a n t
انتباہ	a n t b a h
انتخاب	a n t x a b
انتخاب	a n t x a b
انتر	a n t r
انترم	a n t r m
انتظار	a n t z a r
انتظار	a n t z a r
انتظار	a n t z a r
انتظام	a n t z a m
انتظامی	a n t z a m iː
انتظامیہ	a n t z a m iː h
انتقال	a n t q a l
انتم	a n t m
انتہائی	a n t h a ʔ iː
انتہاپسند	a n t h a p s n d
انجام	a n dʒ a m
انجانا	a n dʒ a n a
انجیر	a n dʒ iː r
انداز	a n d a z
اندراج	a n d r a dʒ
اندلس	a n d l s
اندھا	a n d ʰ a
اندھکار	a n d ʰ k a r
اندھیرا	a n d ʰ iː r a
اندیکھا	a n d iː k ʰ a
انسان	a n s a n
انسانی	a n s a n iː
انش	a n ʃ
انصاف	a n s a f
انطاکیہ	a n t a k iː h
انطلیاس	a n t l iː a s
انعام	a n ʔ a m
انقلاب	a n q l a b
انقلاب	a n q l a b
انوادک	a n uː a d k
انوکھا	a n uː k ʰ a
انٹارکٹکا	a n ʈ a r k ʈ k a
انپم	a n p m
انچل	a n tʃ l
انڈا	a n ɖ a
انڈونیشیا	a n ɖ uː n iː ʃ iː a
انڈکوش	a n ɖ k uː ʃ
انڈیا	a n ɖ iː a
انکار	a n k a r
انکل	a n k l
انگریز	a n ɡ r iː z
انگریزی	a n ɡ r iː z iː
انگلستان	a n ɡ l s t a n
انگلی	a n ɡ l iː
انگلینڈ	a n ɡ l iː n ɖ
انگور	a n ɡ uː r
انگوری	a n ɡ uː r iː
انگولہ	a n ɡ uː l h
انگوٹھا	a n ɡ uː ʈ ʰ a
انگوٹھی	a n ɡ uː ʈ ʰ iː
انگھیٹی	a n ɡ ʰ iː ʈ iː
انھیں	a n ʰ iː ŋ
انھیں	a n ʰ iː ŋ
انہ	a n h
انہیں	a n h iː ŋ
انہیں	a n h iː ŋ
انیک	a n iː k
اوتھل	a ʋ t ʰ l
اودا	a ʋ d a
اودبلاؤ	a ʋ d b l a ʔ
اودھی	a ʋ d ʰ iː
اور	a ʋ r
اورماڑا	a ʋ r m a ɽ a
اورنگ	a ʋ r n ɡ
اورنگزیب	a ʋ r n ɡ z iː b
اوس	a ʋ s
اوساکا	a ʋ s a k a
اوسطا	a ʋ s t a
اوقات	a ʋ q a t
اول	a ʋ l
اولا	a ʋ l a
اولاد	a ʋ l a d
اولو	a ʋ l uː
اولی	a ʋ l iː
اولی	a ʋ l iː
اولی	a ʋ l iː
اونٹ	a ʋ n ʈ
اونچائی	a ʋ n tʃ a ʔ iː
اونگھ	a ʋ n ɡ ʰ
اوپر	a ʋ p r
اوڈیشہ	a ʋ ɖ iː ʃ h
اوڑی	a ʋ ɽ iː
اوکاش	a ʋ k a ʃ
اوکاڑہ	a ʋ k a ɽ h
اوکھی	a ʋ k ʰ iː
اوہ	a ʋ h
اویغور	a ʋ j ɣ uː r
اویغورستان	a ʋ j ɣ uː r s t a n
اٹاری	a ʈ a r iː
اٹاچی	a ʈ a tʃ iː
اٹاچی	a ʈ a tʃ iː
اٹک	a ʈ k
اٹھانا	a ʈ ʰ a n a
اپاسک	a p a s k
اپاہج	a p a h dʒ
اپبھوگ	a p b ʰ uː ɡ
اپدهان	a p d a n
اپدیش	a p d iː ʃ
اپرادھ	a p r a d ʰ
اپرادھی	a p r a d ʰ iː
اپرمپار	a p r m p a r
اپریل	a p r iː l
اپستھت	a p s t ʰ t
اپلبدھ	a p l b d ʰ
اپنا	a p n a
اپنيتر	a p n t r
اپہار	a p h a r
اپیوگ	a p iː ʋ ɡ
اچار	a tʃ a r
اچانک	a tʃ a n k
اچت	a tʃ t
اچکیریہ	a tʃ k iː r iː h
اچکیریہ	a tʃ k iː r iː h
اچھا	a tʃ ʰ a
اچھا	a tʃ ʰ a
اچھلنا	a tʃ ʰ l n a
اڑان	a ɽ a n
اڑانا	a ɽ a n a
اڑنا	a ɽ n a
اڑنا	a ɽ n a
اژدہا	a ʒ d h a
اک	a k
اکادمک	a k a d m k
اکادمی	a k a d m iː
اکال	a k a l
اکانوے	a k a n uː eː
اکتوبر	a k t uː b r
اکثر	a k s r
اکلوتا	a k l uː t a
اکنون	a k n uː n
اکھروٹ	a k ʰ r uː ʈ
اکیلا	a k iː l a
اکیلاپن	a k iː l a p n
اکیلے	a k iː l eː
اگر	a ɡ r
اگربتی	a ɡ r b t iː
اگرچہ	a ɡ r tʃ h
اگست	a ɡ s t
اگلا	a ɡ l a
اگنا	a ɡ n a
اگنی	a ɡ n iː
ایالت	a j a l t
ایت	a j t
ایتھنز	a j t ʰ n z
ایتھنز	a j t ʰ n z
ایتھوپیا	a j t ʰ uː p iː a
ایجنٹ	a j dʒ n ʈ
ایران	a j r a n
ایرانی	a j r a n iː
ایزد	a j z d
ایزد	a j z d
ایزد	a j z d
ایزد	a j z d
ایشور	a j ʃ uː r
ایلچی	a j l tʃ iː
ایمان	a j m a n
ایماندار	a j m a n d a r
اینٹ	a j n ʈ
ایواللہ	a j ʋ a l l h
ایوان	a j ʋ a n
ایوب	a j ʋ b
ایڈنبرا	a j ɖ n b r a
ایڈنبرا	a j ɖ n b r a
ایڈنبرا	a j ɖ n b r a
ایک	a j k
ب	b
ب	b
بائبل	b a ʔ b l
بائیسکل	b a ʔ iː s k l
بابو	b a b uː
بات	b a t
باتھروم	b a t ʰ r uː m
باجی	b a dʒ iː
باختر	b a x t r
باد	b a d
بادام	b a d a m
بادام	b a d a m
بادامی	b a d a m iː
بادشاہ	b a d ʃ a h
بادشاہت	b a d ʃ a h t
بادل	b a d l
بار	b a r
بارات	b a r a t
باراں	b a r a ŋ
بارش	b a r ʃ
بارکھان	b a r k ʰ a n
بارہا	b a r h a
باریک	b a r iː k
بازار	b a z a r
بازار	b a z a r
بازو	b a z uː
بازی	b a z iː
باشندہ	b a ʃ n d h
باعث	b a ʔ s
باغ	b a ɣ
باغی	b a ɣ iː
باغیچہ	b a ɣ iː tʃ h
باقی	b a q iː
بال	b a l
بالش	b a l ʃ
بالفعل	b a l f ʔ l
بالکل	b a l k l
باندھنا	b a n d ʰ n a
بانس	b a n s
بانسو	b a n s uː
بانسوں	b a n s uː ŋ
بانو	b a n uː
بانو	b a n uː
بانچنا	b a n tʃ n a
بانہو	b a n h uː
بانہوں	b a n h uː ŋ
بانہہ	b a n h h
بانہیں	b a n h iː ŋ
باورچی	b a ʋ r tʃ iː
باٹ	b a ʈ
باڑھ	b a ɽ ʰ
باکو	b a k uː
باہر	b a h r
باہر	b a h r
باہم	b a h m
باہمی	b a h m iː
باہوبلی	b a h uː b l iː
ببھکشا	b b ʰ k ʃ a
بت	b t
بتانا	b t a n a
بتانا	b t a n a
بجائے	b dʒ a ʔ eː
بجری	b dʒ r iː
بجلی	b dʒ l iː
بجے	b dʒ eː
بحال	b h a l
بحر	b h r
بحران	b h r a n
بحرین	b h r iː n
بحریہ	b h r iː h
بخش	b x ʃ
بدبو	b d b uː
بدبو	b d b uː
بددعا	b d d ʔ a
بدر	b d r
بدصورت	b d s uː r t
بدعنوانی	b d ʔ n uː a n iː
بدلنا	b d l n a
بدلوانا	b d l uː a n a
بدلہ	b d l h
بدن	b d n
بدنصیب	b d n s iː b
بدنیت	b d n iː t
بدولت	b d uː l t
بدھ	b d ʰ
بدھرتا	b d ʰ r t a
بدھوار	b d ʰ uː a r
بدھیا	b d ʰ iː a
بدیع	b d iː ʔ
بدیع	b d iː ʔ
بدین	b d iː n
برآمد	b r ɑː m d
برا	b r a
برات	b r a t
برازیل	b r a z iː l
برباد	b r b a d
برتن	b r t n
برج	b r dʒ
برس	b r s
برسات	b r s a t
برسلز	b r s l z
برسی	b r s iː
برصغیر	b r s ɣ iː r
برف	b r f
برق	b r q
برقع	b r q ʔ
برقی	b r q iː
برلن	b r l n
برما	b r m a
برمنگھم	b r m n ɡ ʰ m
بروخے	b r uː x eː
برودت	b r uː d t
برچھا	b r tʃ ʰ a
برچھیت	b r tʃ ʰ iː t
برکت	b r k t
برکها	b r k a
برگزیدہ	b r ɡ z iː d h
برہنہ	b r h n h
برہنہ	b r h n h
بریشال	b r iː ʃ a l
بزار	b z a r
بزرگ	b z r ɡ
بزرگی	b z r ɡ iː
بس	b s
بستر	b s t r
بستی	b s t iː
بسکٹ	b s k ʈ
بسیار	b s iː a r
بشیر	b ʃ iː r
بطخ	b t x
بظاہر	b z a h r
بعث	b ʔ s
بعد	b ʔ d
بعلبک	b ʔ l b k
بغاوت	b ɣ a ʋ t
بغل	b ɣ l
بغیر	b ɣ iː r
بغیچہ	b ɣ iː tʃ h
بقار	b q a r
بقر	b q r
بقرعید	b q r ʔ iː d
بقرعید	b q r ʔ iː d
بقرہ	b q r h
بلا	b l a
بلا	b l a
بلا	b l a
بلا	b l a
بلب	b l b
بلغاری	b l ɣ a r iː
بلغاریہ	b l ɣ a r iː h
بلغم	b l ɣ m
بلند	b l n d
بلوغت	b l uː ɣ t
بلوچستان	b l uː tʃ s t a n
بلکہ	b l k h
بلہار	b l h a r
بلی	b l iː
بلیدہ	b l iː d h
بم	b m
بمباری	b m b a r iː
بمبہ	b m b h
بمقابلہ	b m q a b l h
بمقابلہ	b m q a b l h
بمقابلہ	b m q a b l h
بنا	b n a
بنا	b n a
بنارس	b n a r s
بنانا	b n a n a
بناوٹ	b n a ʋ ʈ
بناوٹی	b n a ʋ ʈ iː
بنت	b n t
بنتی	b n t iː
بنجارا	b n dʒ a r a
بنجی	b n dʒ iː
بند	b n d
بندر	b n d r
بندوق	b n d uː q
بندوق	b n d uː q
بندھن	b n d ʰ n
بندہ	b n d h
بنزین	b n z iː n
بنفشی	b n f ʃ iː
بنيان	b n a n
بنگ	b n ɡ
بنگال	b n ɡ a l
بنگالی	b n ɡ a l iː
بنیادی	b n iː a d iː
بو	b uː
بو	b uː
بواب	b uː a b
بوتل	b uː t l
بوجھ	b uː dʒ ʰ
بودار	b uː d a r
بور	b uː r
بوریت	b uː r iː t
بوسنیا	b uː s n iː a
بوسہ	b uː s h
بولنا	b uː l n a
بولی	b uː l iː
بوم	b uː m
بونا	b uː n a
بونا	b uː n a
بونڈر	b uː n ɖ r
بوٹ	b uː ʈ
بوچڑ	b uː tʃ ɽ
بوڑھا	b uː ɽ ʰ a
بٹن	b ʈ n
بٹوا	b ʈ uː a
بٹوا	b ʈ uː a
بٹورنا	b ʈ uː r n a
بٹھانا	b ʈ ʰ a n a
بپتسمہ	b p t s m h
بچپن	b tʃ p n
بچھو	b tʃ ʰ uː
بچہ	b tʃ h
بچی	b tʃ iː
بڑا	b ɽ a
بڑھاپا	b ɽ ʰ a p a
بڑھنا	b ɽ ʰ n a
بکاؤ	b k a ʔ
بکاؤ	b k a ʔ
بکرا	b k r a
بکری	b k r iː
بکس	b k s
بکم	b k m
بکم	b k m
بکھراو	b k ʰ r a ʋ
بھائی	b ʰ a ʔ iː
بھاجن	b ʰ a dʒ n
بھارت	b ʰ a r t
بھاشا	b ʰ a ʃ a
بھالو	b ʰ a l uː
بھانجا	b ʰ a n dʒ a
بھانجی	b ʰ a n dʒ iː
بھانگ	b ʰ a n ɡ
بھاگ	b ʰ a ɡ
بھاگنا	b ʰ a ɡ n a
بھتیجا	b ʰ t iː dʒ a
بھتیجی	b ʰ t iː dʒ iː
بھراتا	b ʰ r a t a
بھرم	b ʰ r m
بھرن	b ʰ r n
بھرنا	b ʰ r n a
بھروسہ	b ʰ r uː s h
بھلوال	b ʰ l uː a l
بھلکڑ	b ʰ l k ɽ
بھنجک	b ʰ n dʒ k
بھوت	b ʰ uː t
بھوتنی	b ʰ uː t n iː
بھوتنی	b ʰ uː t n iː
بھورا	b ʰ uː r a
بھوسڑی	b ʰ uː s ɽ iː
بھولنا	b ʰ uː l n a
بھومی	b ʰ uː m iː
بھونیشور	b ʰ uː n iː ʃ uː r
بھوٹان	b ʰ uː ʈ a n
بھوک	b ʰ uː k
بھوگول	b ʰ uː ɡ uː l
بھکت	b ʰ k t
بھکتی	b ʰ k t iː
بھکر	b ʰ k r
بھگدڑ	b ʰ ɡ d ɽ
بھگوان	b ʰ ɡ uː a n
بھی	b ʰ iː
بھیا	b ʰ iː a
بھیانک	b ʰ iː a n k
بھیجنا	b ʰ iː dʒ n a
بھید	b ʰ iː d
بھیس	b ʰ iː s
بھیڑ	b ʰ iː ɽ
بھیڑ	b ʰ iː ɽ
بھیک	b ʰ iː k
بہ	b h
بہاؤالدین	b h a ʔ a l d iː n
بہادری	b h a d r iː
بہادری	b h a d r iː
بہار	b h a r
بہار	b h a r
بہاراں	b h a r a ŋ
بہاولنگر	b h a ʋ l n ɡ r
بہاولپور	b h a ʋ l p uː r
بہت	b h t
بہت	b h t
بہتر	b h t r
بہتر	b h t r
بہرا	b h r a
بہرام	b h r a m
بہرام	b h r a m
بہروز	b h r uː z
بہشت	b h ʃ t
بہن	b h n
بہن	b h n
بہنا	b h n a
بیت	b iː t
بیتا	b iː t a
بیجا	b iː dʒ a
بیجنگ	b iː dʒ n ɡ
بیخ	b iː x
بیخ	b iː x
بیدار	b iː d a r
بیر	b iː r
بیروت	b iː r uː t
بیزتی	b iː z t iː
بیزتی	b iː z t iː
بیستی	b iː s t iː
بیش	b iː ʃ
بیشک	b iː ʃ k
بیضہ	b iː z h
بیعت	b iː ʔ t
بیعت	b iː ʔ t
بیعت	b iː ʔ t
بیلاروس	b iː l a r uː s
بیلجیم	b iː l dʒ iː m
بیلہ	b iː l h
بیمار	b iː m a r
بیماری	b iː m a r iː
بینک	b iː n k
بیوی	b iː ʋ j
بیٹا	b iː ʈ a
بیٹھنا	b iː ʈ ʰ n a
بیٹھک	b iː ʈ ʰ k
بیچ	b iː tʃ
بیچنا	b iː tʃ n a
بیکر	b iː k r
بیگ	b iː ɡ
بیگ	b iː ɡ
بیگم	b iː ɡ m
